cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Disorders of sexual preference (F65),no.,0,0,0,1,0,1,NA,F65,NA,NA,NA
Psychological and behavioural disorders associated with sexual development and orientation (F66),no.,0,0,0,2,2,4,NA,F66,NA,NA,NA
Other disorders of adult personality and behaviour (F68),no.,0,0,0,0,1,1,NA,F68,NA,NA,NA
Unspecified disorder of adult personality and behaviour (F69),no.,0,0,0,0,0,0,NA,F69,NA,NA,NA
Mental retardation (F70-F79),no.,4,5,9,149,152,301,33.4,F70-F79,37.25,30.4,33.44444444444444
Mild mental retardation (F70),no.,0,0,0,0,1,1,NA,F70,NA,NA,NA
Moderate mental retardation (F71),no.,0,0,0,0,0,0,NA,F71,NA,NA,NA
Severe mental retardation (F72),no.,0,0,0,1,0,1,NA,F72,NA,NA,NA
Profound mental retardation (F73),no.,0,0,0,0,0,0,NA,F73,NA,NA,NA
Other mental retardation (F78),no.,0,0,0,1,0,1,NA,F78,NA,NA,NA
Unspecified mental retardation (F79),no.,4,5,9,147,151,298,33.1,F79,36.75,30.2,33.111111111111114
Disorders of psychological development (F80-F89),no.,1,2,3,120,43,163,54.3,F80-F89,120,21.5,54.333333333333336
Specific developmental disorders of speech and language (F80),no.,0,0,0,3,0,3,NA,F80,NA,NA,NA
Specific developmental disorders of scholastic skills (F81),no.,0,0,0,3,0,3,NA,F81,NA,NA,NA
Specific developmental disorder of motor function (F82),no.,0,0,0,1,0,1,NA,F82,NA,NA,NA
Mixed specific developmental disorders (F83),no.,0,0,0,0,0,0,NA,F83,NA,NA,NA
Pervasive developmental disorders (F84),no.,0,2,2,97,38,135,67.5,F84,NA,19,67.5
Other disorders of psychological development (F88),no.,0,0,0,4,1,5,NA,F88,NA,NA,NA
Unspecified disorder of psychological development (F89),no.,1,0,1,12,4,16,16,F89,12,NA,16
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90-F98),no.,0,0,0,188,52,240,NA,F90-F98,NA,NA,NA
Hyperkinetic disorders (F90),no.,0,0,0,173,49,222,NA,F90,NA,NA,NA
Conduct disorders (F91),no.,0,0,0,7,1,8,NA,F91,NA,NA,NA
Mixed disorders of conduct and emotions (F92),no.,0,0,0,0,0,0,NA,F92,NA,NA,NA
Emotional disorders with onset specific to childhood (F93),no.,0,0,0,0,0,0,NA,F93,NA,NA,NA
Disorders of social functioning with onset specific to childhood and adolescence (F94),no.,0,0,0,0,1,1,NA,F94,NA,NA,NA
Tic disorders (F95),no.,0,0,0,5,0,5,NA,F95,NA,NA,NA
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F98),no.,0,0,0,3,1,4,NA,F98,NA,NA,NA
Unspecified mental disorder (F99-F99),no.,0,0,0,218,77,295,NA,F99-F99,NA,NA,NA
"Mental disorder, not otherwise specified (F99)",no.,0,0,0,218,77,295,NA,F99,NA,NA,NA
CHAPTER VI Diseases of the nervous system (G00-G99),no.,5934,6610,12544,13980,13135,27115,2.2,G00-G99,2.3559150657229524,1.98714069591528,2.161591198979592
Inflammatory diseases of the central nervous system (G00-G09),no.,90,61,151,234,145,379,2.5,G00-G09,2.6,2.377049180327869,2.5099337748344372
"Bacterial meningitis, not elsewhere classified (G00)",no.,12,10,22,20,11,31,1.4,G00,1.6666666666666667,1.1,1.4090909090909092
Meningitis due to other and unspecified causes (G03),no.,5,6,11,20,13,33,3,G03,4,2.1666666666666665,3
"Encephalitis, myelitis and encephalomyelitis (G04)",no.,44,30,74,107,63,170,2.3,G04,2.4318181818181817,2.1,2.2972972972972974
Intracranial and intraspinal abscess and granuloma (G06),no.,16,9,25,56,33,89,3.6,G06,3.5,3.6666666666666665,3.56
Intracranial and intraspinal phlebitis and thrombophlebitis (G08),no.,3,3,6,9,13,22,3.7,G08,3,4.333333333333333,3.6666666666666665
Sequelae of inflammatory diseases of central nervous system (G09),no.,10,3,13,22,12,34,2.6,G09,2.2,4,2.6153846153846154
Systemic atrophies primarily affecting the central nervous system (G10-G14),no.,532,421,953,630,488,1118,1.2,G10-G14,1.1842105263157894,1.159144893111639,1.1731374606505771
Huntington disease (G10),no.,39,51,90,53,64,117,1.3,G10,1.358974358974359,1.2549019607843137,1.3
Hereditary ataxia (G11),no.,31,22,53,59,35,94,1.8,G11,1.903225806451613,1.5909090909090908,1.7735849056603774
Spinal muscular atrophy and related syndromes (G12),no.,461,345,806,506,375,881,1.1,G12,1.0976138828633406,1.0869565217391304,1.0930521091811414
Postpolio syndrome (G14),no.,1,3,4,12,14,26,6.5,G14,12,4.666666666666667,6.5
Extrapyramidal and movement disorders (G20-G26),no.,1902,1154,3056,3410,1927,5337,1.7,G20-G26,1.7928496319663512,1.669844020797227,1.7464005235602094
Parkinson disease (G20),no.,1649,950,2599,3032,1631,4663,1.8,G20,1.8386901152213462,1.716842105263158,1.7941515967679877
Secondary parkinsonism (G21),no.,11,9,20,32,18,50,2.5,G21,2.909090909090909,2,2.5
Other degenerative diseases of basal ganglia (G23),no.,235,189,424,311,237,548,1.3,G23,1.323404255319149,1.253968253968254,1.2924528301886793
Dystonia (G24),no.,3,2,5,13,12,25,5,G24,4.333333333333333,6,5
Other extrapyramidal and movement disorders (G25),no.,4,4,8,22,29,51,6.4,G25,5.5,7.25,6.375
Other degenerative diseases of the nervous system (G30-G32),no.,2597,4275,6872,4577,6624,11201,1.6,G30-G32,1.7624181748170966,1.5494736842105263,1.6299476135040745
Alzheimer's disease (G30),no.,2117,3881,5998,3659,5908,9567,1.6,G30,1.728389230042513,1.5222880700850296,1.595031677225742
"Other degenerative diseases of nervous system, not elsewhere classified (G31)",no.,480,394,874,918,716,1634,1.9,G31,1.9125,1.8172588832487309,1.8695652173913044
Demyelinating diseases of the central nervous system (G35-G37),no.,73,134,207,129,248,377,1.8,G35-G37,1.7671232876712328,1.8507462686567164,1.821256038647343
Multiple sclerosis (G35),no.,71,126,197,118,230,348,1.8,G35,1.6619718309859155,1.8253968253968254,1.766497461928934
Other acute disseminated demyelination (G36),no.,0,3,3,1,5,6,2,G36,NA,1.6666666666666667,2
Other demyelinating diseases of central nervous system (G37),no.,2,5,7,10,13,23,3.3,G37,5,2.6,3.2857142857142856
Episodic and paroxysmal disorders (G40-G47),no.,245,193,438,2589,2081,4670,10.7,G40-G47,10.56734693877551,10.782383419689118,10.662100456621005
Epilepsy (G40),no.,141,104,245,693,591,1284,5.2,G40,4.914893617021277,5.6826923076923075,5.240816326530612
Status epilepticus (G41),no.,38,37,75,86,97,183,2.4,G41,2.263157894736842,2.6216216216216215,2.44
Migraine (G43),no.,0,0,0,19,52,71,NA,G43,NA,NA,NA
Other headache syndromes (G44),no.,0,0,0,0,0,0,NA,G44,NA,NA,NA
Transient cerebral ischaemic attacks and related syndromes (G45),no.,10,16,26,397,558,955,36.7,G45,39.7,34.875,36.73076923076923
Sleep disorders (G47),no.,56,36,92,1394,783,2177,23.7,G47,24.892857142857142,21.75,23.66304347826087
"Nerve, nerve root and plexus disorders (G50-G59)",no.,1,3,4,59,54,113,28.3,G50-G59,59,18,28.25
Disorders of trigeminal nerve (G50),no.,0,2,2,7,13,20,10,G50,NA,6.5,10
Facial nerve disorders (G51),no.,0,0,0,16,14,30,NA,G51,NA,NA,NA
Disorders of other cranial nerves (G52),no.,0,1,1,3,6,9,9,G52,NA,6,9
Nerve root and plexus disorders (G54),no.,0,0,0,9,5,14,NA,G54,NA,NA,NA
Mononeuropathies of upper limb (G56),no.,1,0,1,13,7,20,20,G56,13,NA,20
Mononeuropathies of lower limb (G57),no.,0,0,0,2,4,6,NA,G57,NA,NA,NA
Other mononeuropathies (G58),no.,0,0,0,9,5,14,NA,G58,NA,NA,NA
Polyneuropathies and other disorders of the peripheral nervous system (G60-G64),no.,39,29,68,241,201,442,6.5,G60-G64,6.17948717948718,6.931034482758621,6.5
Hereditary and idiopathic neuropathy (G60),no.,7,0,7,25,11,36,5.1,G60,3.5714285714285716,NA,5.142857142857143
Inflammatory polyneuropathy (G61),no.,22,15,37,51,39,90,2.4,G61,2.3181818181818183,2.6,2.4324324324324325
Other polyneuropathies (G62),no.,10,14,24,165,150,315,13.1,G62,16.5,10.714285714285714,13.125
Other disorders of peripheral nervous system (G64),no.,0,0,0,0,1,1,NA,G64,NA,NA,NA
Diseases of myoneural junction and muscle (G70-G73),no.,140,111,251,277,197,474,1.9,G70-G73,1.9785714285714286,1.7747747747747749,1.8884462151394423
Myasthenia gravis and other myoneural disorders (G70),no.,33,32,65,89,73,162,2.5,G70,2.696969696969697,2.28125,2.4923076923076923
Primary disorders of muscles (G71),no.,71,57,128,114,78,192,1.5,G71,1.6056338028169015,1.368421052631579,1.5
Other myopathies (G72),no.,36,22,58,74,46,120,2.1,G72,2.0555555555555554,2.090909090909091,2.0689655172413794
Cerebral palsy and other paralytic syndromes (G80-G83),no.,113,94,207,388,289,677,3.3,G80-G83,3.433628318584071,3.074468085106383,3.2705314009661834
Cerebral palsy (G80),no.,63,69,132,135,122,257,1.9,G80,2.142857142857143,1.7681159420289856,1.946969696969697
Hemiplegia (G81),no.,0,5,5,90,83,173,34.6,G81,NA,16.6,34.6
Paraplegia and tetraplegia (G82),no.,46,15,61,138,59,197,3.2,G82,3,3.933333333333333,3.2295081967213113
Other paralytic syndromes (G83),no.,4,5,9,25,25,50,5.6,G83,6.25,5,5.555555555555555
Other disorders of the nervous system (G90-G99),no.,202,135,337,1446,881,2327,6.9,G90-G99,7.1584158415841586,6.525925925925926,6.905044510385757
Disorders of autonomic nervous system (G90),no.,9,9,18,57,25,82,4.6,G90,6.333333333333333,2.7777777777777777,4.555555555555555
Hydrocephalus (G91),no.,16,24,40,152,129,281,7,G91,9.5,5.375,7.025
Toxic encephalopathy (G92),no.,1,0,1,8,2,10,10,G92,8,NA,10
Other disorders of brain (G93),no.,138,69,207,1046,597,1643,7.9,G93,7.579710144927536,8.652173913043478,7.93719806763285
Other diseases of spinal cord (G95),no.,24,8,32,126,63,189,5.9,G95,5.25,7.875,5.90625
Other disorders of central nervous system (G96),no.,12,25,37,44,60,104,2.8,G96,3.6666666666666665,2.4,2.810810810810811
"Postprocedural disorders of nervous system, not elsewhere classified (G97)",no.,0,0,0,1,0,1,NA,G97,NA,NA,NA
"Other disorders of nervous system, not elsewhere classified (G98)",no.,2,0,2,12,5,17,8.5,G98,6,NA,8.5
CHAPTER VII Diseases of the eye and adnexa (H00-H59),no.,2,11,13,414,581,995,76.5,H00-H59,207,52.81818181818182,76.53846153846153
"Disorders of eyelid, lacrimal system and orbit (H00-H06)",no.,1,0,1,7,6,13,13,H00-H06,7,NA,13
Hordeolum and chalazion (H00),no.,0,0,0,0,0,0,NA,H00,NA,NA,NA
Other inflammation of eyelid (H01),no.,0,0,0,0,0,0,NA,H01,NA,NA,NA
Other disorders of eyelid (H02),no.,0,0,0,0,0,0,NA,H02,NA,NA,NA
Disorders of lacrimal system (H04),no.,0,0,0,1,1,2,NA,H04,NA,NA,NA
Disorders of orbit (H05),no.,1,0,1,6,5,11,11,H05,6,NA,11
Disorders of conjunctiva (H10-H13),no.,0,0,0,3,1,4,NA,H10-H13,NA,NA,NA
Conjunctivitis (H10),no.,0,0,0,1,1,2,NA,H10,NA,NA,NA
Other disorders of conjunctiva (H11),no.,0,0,0,2,0,2,NA,H11,NA,NA,NA
"Disorders of sclera, cornea, iris and ciliary body (H15-H22)",no.,0,2,2,6,9,15,7.5,H15-H22,NA,4.5,7.5
Disorders of sclera (H15),no.,0,0,0,0,0,0,NA,H15,NA,NA,NA
Keratitis (H16),no.,0,2,2,4,3,7,3.5,H16,NA,1.5,3.5
Corneal scars and opacities (H17),no.,0,0,0,0,0,0,NA,H17,NA,NA,NA
Other disorders of cornea (H18),no.,0,0,0,2,3,5,NA,H18,NA,NA,NA
Iridocyclitis (H20),no.,0,0,0,0,3,3,NA,H20,NA,NA,NA
Other disorders of iris and ciliary body (H21),no.,0,0,0,0,0,0,NA,H21,NA,NA,NA
Disorders of lens (H25-H28),no.,0,0,0,46,45,91,NA,H25-H28,NA,NA,NA
Senile cataract (H25),no.,0,0,0,0,0,0,NA,H25,NA,NA,NA
Other cataract (H26),no.,0,0,0,46,45,91,NA,H26,NA,NA,NA
Other disorders of lens (H27),no.,0,0,0,0,0,0,NA,H27,NA,NA,NA
Disorders of choroid and retina (H30-H36),no.,1,6,7,109,206,315,45,H30-H36,109,34.333333333333336,45
Chorioretinal inflammation (H30),no.,0,0,0,0,0,0,NA,H30,NA,NA,NA
Other disorders of choroid (H31),no.,0,0,0,0,0,0,NA,H31,NA,NA,NA
Retinal detachments and breaks (H33),no.,0,0,0,6,2,8,NA,H33,NA,NA,NA
Retinal vascular occlusions (H34),no.,0,0,0,3,9,12,NA,H34,NA,NA,NA
Other retinal disorders (H35),no.,1,6,7,100,195,295,42.1,H35,100,32.5,42.142857142857146
Glaucoma (H40-H42),no.,0,2,2,107,171,278,139,H40-H42,NA,85.5,139
Glaucoma (H40),no.,0,2,2,107,171,278,139,H40,NA,85.5,139
Disorders of vitreous body and globe (H43-H45),no.,0,0,0,8,5,13,NA,H43-H45,NA,NA,NA
Disorders of vitreous body (H43),no.,0,0,0,6,1,7,NA,H43,NA,NA,NA
Disorders of globe (H44),no.,0,0,0,2,4,6,NA,H44,NA,NA,NA
Disorders of optic nerve and visual pathways (H46-H48),no.,0,0,0,5,7,12,NA,H46-H48,NA,NA,NA
Optic neuritis (H46),no.,0,0,0,1,4,5,NA,H46,NA,NA,NA
Other disorders of optic [2nd] nerve and visual pathways (H47),no.,0,0,0,4,3,7,NA,H47,NA,NA,NA
"Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)",no.,0,1,1,1,3,4,4,H49-H52,NA,3,4
Paralytic strabismus (H49),no.,0,1,1,1,3,4,4,H49,NA,3,4
Other strabismus (H50),no.,0,0,0,0,0,0,NA,H50,NA,NA,NA
Other disorders of binocular movement (H51),no.,0,0,0,0,0,0,NA,H51,NA,NA,NA
Disorders of refraction and accommodation (H52),no.,0,0,0,0,0,0,NA,H52,NA,NA,NA
Visual disturbances and blindness (H53-H54),no.,0,0,0,117,125,242,NA,H53-H54,NA,NA,NA
Visual disturbances (H53),no.,0,0,0,7,3,10,NA,H53,NA,NA,NA
Visual impairment including blindness (binocular or monocular) (H54),no.,0,0,0,110,122,232,NA,H54,NA,NA,NA
Other disorders of eye and adnexa (H55-H59),no.,0,0,0,5,3,8,NA,H55-H59,NA,NA,NA
Nystagmus and other irregular eye movements (H55),no.,0,0,0,0,0,0,NA,H55,NA,NA,NA
Other disorders of eye and adnexa (H57),no.,0,0,0,5,3,8,NA,H57,NA,NA,NA
"Postprocedural disorders of eye and adnexa, not elsewhere classified (H59)",no.,0,0,0,0,0,0,NA,H59,NA,NA,NA
CHAPTER VIII Diseases of the ear and mastoid process (H60-H95),no.,10,9,19,158,129,287,15.1,H60-H95,15.8,14.333333333333334,15.105263157894736
Diseases of external ear (H60-H62),no.,0,3,3,10,3,13,4.3,H60-H62,NA,1,4.333333333333333
Otitis externa (H60),no.,0,3,3,10,3,13,4.3,H60,NA,1,4.333333333333333
Other disorders of external ear (H61),no.,0,0,0,0,0,0,NA,H61,NA,NA,NA
Diseases of middle ear and mastoid (H65-H75),no.,10,4,14,21,10,31,2.2,H65-H75,2.1,2.5,2.2142857142857144
Nonsuppurative otitis media (H65),no.,0,0,0,0,0,0,NA,H65,NA,NA,NA
Suppurative and unspecified otitis media (H66),no.,3,3,6,7,5,12,2,H66,2.3333333333333335,1.6666666666666667,2
Eustachian salpingitis and obstruction (H68),no.,0,0,0,0,0,0,NA,H68,NA,NA,NA
Other disorders of Eustachian tube (H69),no.,0,0,0,0,0,0,NA,H69,NA,NA,NA
Mastoiditis and related conditions (H70),no.,7,1,8,14,4,18,2.3,H70,2,4,2.25
Cholesteatoma of middle ear (H71),no.,0,0,0,0,0,0,NA,H71,NA,NA,NA
Perforation of tympanic membrane (H72),no.,0,0,0,0,0,0,NA,H72,NA,NA,NA
Other disorders of tympanic membrane (H73),no.,0,0,0,0,0,0,NA,H73,NA,NA,NA
Other disorders of middle ear and mastoid (H74),no.,0,0,0,0,1,1,NA,H74,NA,NA,NA
Diseases of inner ear (H80-H83),no.,0,0,0,14,24,38,NA,H80-H83,NA,NA,NA
Otosclerosis (H80),no.,0,0,0,0,0,0,NA,H80,NA,NA,NA
Disorders of vestibular function (H81),no.,0,0,0,14,24,38,NA,H81,NA,NA,NA
Other diseases of inner ear (H83),no.,0,0,0,0,0,0,NA,H83,NA,NA,NA
Other disorders of ear (H90-H95),no.,0,2,2,113,92,205,102.5,H90-H95,NA,46,102.5
Conductive and sensorineural hearing loss (H90),no.,0,0,0,4,3,7,NA,H90,NA,NA,NA
Other hearing loss (H91),no.,0,2,2,103,88,191,95.5,H91,NA,44,95.5
Otalgia and effusion of ear (H92),no.,0,0,0,0,0,0,NA,H92,NA,NA,NA
"Other disorders of ear, not elsewhere classified (H93)",no.,0,0,0,6,1,7,NA,H93,NA,NA,NA
"Postprocedural disorders of ear and mastoid process, not elsewhere classified (H95)",no.,0,0,0,0,0,0,NA,H95,NA,NA,NA
CHAPTER IX Diseases of the circulatory system (I00-I99),no.,22081,20217,42298,92559,80562,173121,4.1,I00-I99,4.191793849916218,3.984864223178513,4.092888552650243
Acute rheumatic fever (I00-I02),no.,9,19,28,28,55,83,3,I00-I02,3.111111111111111,2.8947368421052633,2.9642857142857144
Rheumatic fever without mention of heart involvement (I00),no.,0,0,0,10,19,29,NA,I00,NA,NA,NA
Rheumatic fever with heart involvement (I01),no.,9,19,28,18,36,54,1.9,I01,2,1.894736842105263,1.9285714285714286
Rheumatic chorea (I02),no.,0,0,0,0,0,0,NA,I02,NA,NA,NA
Chronic rheumatic heart diseases (I05-I09),no.,133,215,348,397,577,974,2.8,I05-I09,2.9849624060150375,2.683720930232558,2.7988505747126435
Rheumatic mitral valve diseases (I05),no.,54,68,122,203,249,452,3.7,I05,3.759259259259259,3.661764705882353,3.7049180327868854
Rheumatic aortic valve diseases (I06),no.,0,1,1,5,4,9,9,I06,NA,4,9
Rheumatic tricuspid valve diseases (I07),no.,23,48,71,92,144,236,3.3,I07,4,3,3.323943661971831
Multiple valve diseases (I08),no.,44,68,112,52,76,128,1.1,I08,1.1818181818181819,1.1176470588235294,1.1428571428571428
Other rheumatic heart diseases (I09),no.,12,30,42,45,104,149,3.5,I09,3.75,3.466666666666667,3.5476190476190474
Hypertensive diseases (I10-I15),no.,1185,1677,2862,13202,13891,27093,9.5,I10-I15,11.140928270042194,8.28324388789505,9.466457023060796
Essential (primary) hypertension (I10),no.,269,575,844,11253,12167,23420,27.7,I10,41.83271375464684,21.16,27.748815165876778
Hypertensive heart disease (I11),no.,500,614,1114,1154,914,2068,1.9,I11,2.308,1.488599348534202,1.8563734290843805
Hypertensive renal disease (I12),no.,161,250,411,227,299,526,1.3,I12,1.4099378881987579,1.196,1.2798053527980535
Hypertensive heart and renal disease (I13),no.,255,238,493,488,397,885,1.8,I13,1.9137254901960785,1.6680672268907564,1.795131845841785
Secondary hypertension (I15),no.,0,0,0,80,114,194,NA,I15,NA,NA,NA
Ischaemic heart diseases (I20-I25),no.,10153,6122,16275,24720,14257,38977,2.4,I20-I25,2.434748350241308,2.328814113034956,2.394900153609831
Angina pectoris (I20),no.,10,9,19,62,73,135,7.1,I20,6.2,8.11111111111111,7.105263157894737
Acute myocardial infarction (I21),no.,3232,2311,5543,5152,3759,8911,1.6,I21,1.5940594059405941,1.6265685850281264,1.6076132058452102
Subsequent myocardial infarction (I22),no.,0,0,0,0,0,0,NA,I22,NA,NA,NA
Certain current complications following acute myocardial infarction (I23),no.,0,0,0,8,6,14,NA,I23,NA,NA,NA
Other acute ischaemic heart diseases (I24),no.,257,212,469,682,494,1176,2.5,I24,2.6536964980544746,2.330188679245283,2.5074626865671643
Chronic ischaemic heart disease (I25),no.,6654,3590,10244,18816,9925,28741,2.8,I25,2.8277727682596936,2.764623955431755,2.8056423272159314
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),no.,404,519,923,2810,3099,5909,6.4,I26-I28,6.955445544554456,5.971098265895954,6.401950162513542
Pulmonary embolism (I26),no.,195,213,408,1747,1723,3470,8.5,I26,8.95897435897436,8.089201877934272,8.504901960784315
Other pulmonary heart diseases (I27),no.,203,303,506,1052,1367,2419,4.8,I27,5.182266009852217,4.511551155115511,4.780632411067193
Other diseases of pulmonary vessels (I28),no.,6,3,9,11,9,20,2.2,I28,1.8333333333333333,3,2.2222222222222223
Other forms of heart disease (I30-I52),no.,4854,5542,10396,35418,33215,68633,6.6,I30-I52,7.296662546353523,5.993323709852039,6.601866102347056
Acute pericarditis (I30),no.,1,1,2,4,3,7,3.5,I30,4,3,3.5
Other diseases of pericardium (I31),no.,52,44,96,327,278,605,6.3,I31,6.288461538461538,6.318181818181818,6.302083333333333
Acute and subacute endocarditis (I33),no.,148,68,216,333,156,489,2.3,I33,2.25,2.2941176470588234,2.263888888888889
Nonrheumatic mitral valve disorders (I34),no.,111,152,263,359,412,771,2.9,I34,3.234234234234234,2.710526315789474,2.931558935361217
Nonrheumatic aortic valve disorders (I35),no.,597,639,1236,1909,1639,3548,2.9,I35,3.1976549413735342,2.564945226917058,2.870550161812298
Nonrheumatic tricuspid valve disorders (I36),no.,1,0,1,5,13,18,18,I36,5,NA,18
Pulmonary valve disorders (I37),no.,1,1,2,3,3,6,3,I37,3,3,3
"Endocarditis, valve unspecified (I38)",no.,160,204,364,580,560,1140,3.1,I38,3.625,2.7450980392156863,3.131868131868132
Acute myocarditis (I40),no.,11,8,19,16,15,31,1.6,I40,1.4545454545454546,1.875,1.631578947368421
Cardiomyopathy (I42),no.,685,398,1083,1636,1060,2696,2.5,I42,2.3883211678832117,2.663316582914573,2.48938134810711
Atrioventricular and left bundle-branch block (I44),no.,45,53,98,285,238,523,5.3,I44,6.333333333333333,4.490566037735849,5.336734693877551
Other conduction disorders (I45),no.,47,30,77,590,383,973,12.6,I45,12.553191489361701,12.766666666666667,12.636363636363637
Cardiac arrest (I46),no.,7,2,9,4953,4572,9525,1058.3,I46,707.5714285714286,2286,1058.3333333333333
Paroxysmal tachycardia (I47),no.,19,18,37,237,151,388,10.5,I47,12.473684210526315,8.38888888888889,10.486486486486486
Atrial fibrillation and flutter (I48),no.,921,1516,2437,8528,8688,17216,7.1,I48,9.259500542888166,5.730870712401056,7.064423471481329
Other cardiac arrhythmias (I49),no.,110,89,199,1180,768,1948,9.8,I49,10.727272727272727,8.629213483146067,9.78894472361809
Heart failure (I50),no.,1640,2060,3700,12593,13012,25605,6.9,I50,7.678658536585366,6.316504854368932,6.9202702702702705
Complications and ill-defined descriptions of heart disease (I51),no.,298,259,557,1880,1264,3144,5.6,I51,6.308724832214765,4.88030888030888,5.644524236983842
Cerebrovascular diseases (I60-I69),no.,4079,5068,9147,10405,11315,21720,2.4,I60-I69,2.5508703113508213,2.2326361483820047,2.374549032469662
Subarachnoid haemorrhage (I60),no.,244,376,620,356,495,851,1.4,I60,1.459016393442623,1.3164893617021276,1.3725806451612903
Intracerebral haemorrhage (I61),no.,653,695,1348,1155,1126,2281,1.7,I61,1.768759571209801,1.6201438848920864,1.6921364985163205
Other nontraumatic intracranial haemorrhage (I62),no.,571,524,1095,1080,942,2022,1.8,I62,1.8914185639229422,1.797709923664122,1.8465753424657534
Cerebral infarction (I63),no.,715,814,1529,1592,1655,3247,2.1,I63,2.2265734265734265,2.033169533169533,2.1236102027468933
"Stroke, not specified as haemorrhage or infarction (I64)",no.,1316,1992,3308,3481,4239,7720,2.3,I64,2.6451367781155017,2.128012048192771,2.3337363966142686
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction (I65)",no.,0,0,0,7,1,8,NA,I65,NA,NA,NA
"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction (I66)",no.,0,0,0,2,1,3,NA,I66,NA,NA,NA
Other cerebrovascular diseases (I67),no.,178,278,456,921,1130,2051,4.5,I67,5.174157303370786,4.0647482014388485,4.49780701754386
Sequelae of cerebrovascular disease (I69),no.,402,389,791,1811,1726,3537,4.5,I69,4.5049751243781095,4.4370179948586115,4.471554993678888
"Diseases of arteries, arterioles and capillaries (I70-I79)",no.,1118,895,2013,4113,2717,6830,3.4,I70-I79,3.678890876565295,3.035754189944134,3.3929458519622453
Atherosclerosis (I70),no.,20,22,42,414,341,755,18,I70,20.7,15.5,17.976190476190474
Aortic aneurysm and dissection (I71),no.,639,413,1052,1180,666,1846,1.8,I71,1.8466353677621283,1.612590799031477,1.7547528517110267
Other aneurysm and dissection (I72),no.,45,35,80,105,93,198,2.5,I72,2.3333333333333335,2.657142857142857,2.475
Other peripheral vascular diseases (I73),no.,319,326,645,2039,1292,3331,5.2,I73,6.391849529780564,3.96319018404908,5.164341085271317
Arterial embolism and thrombosis (I74),no.,26,28,54,158,129,287,5.3,I74,6.076923076923077,4.607142857142857,5.314814814814815
Other disorders of arteries and arterioles (I77),no.,64,65,129,201,178,379,2.9,I77,3.140625,2.7384615384615385,2.937984496124031
Diseases of capillaries (I78),no.,5,6,11,16,18,34,3.1,I78,3.2,3,3.090909090909091
"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",no.,134,149,283,983,1003,1986,7,I80-I89,7.335820895522388,6.731543624161074,7.017667844522968
Phlebitis and thrombophlebitis (I80),no.,89,85,174,467,519,986,5.7,I80,5.247191011235955,6.105882352941176,5.666666666666667
Portal vein thrombosis (I81),no.,7,6,13,87,46,133,10.2,I81,12.428571428571429,7.666666666666667,10.23076923076923
Other venous embolism and thrombosis (I82),no.,7,8,15,128,111,239,15.9,I82,18.285714285714285,13.875,15.933333333333334
Varicose veins of lower extremities (I83),no.,19,25,44,44,62,106,2.4,I83,2.3157894736842106,2.48,2.409090909090909
Haemorrhoids (I84),no.,0,0,0,0,0,0,NA,I84,NA,NA,NA
Oesophageal varices (I85),no.,4,4,8,127,63,190,23.8,I85,31.75,15.75,23.75
Varicose veins of other sites (I86),no.,0,0,0,13,3,16,NA,I86,NA,NA,NA
Other disorders of veins (I87),no.,5,9,14,54,62,116,8.3,I87,10.8,6.888888888888889,8.285714285714286
Nonspecific lymphadenitis (I88),no.,0,0,0,0,1,1,NA,I88,NA,NA,NA
Other noninfective disorders of lymphatic vessels and lymph nodes (I89),no.,3,12,15,63,136,199,13.3,I89,21,11.333333333333334,13.266666666666667
Other and unspecified disorders of the circulatory system (I95-I99),no.,12,11,23,483,433,916,39.8,I95-I99,40.25,39.36363636363637,39.82608695652174
Hypotension (I95),no.,4,4,8,198,183,381,47.6,I95,49.5,45.75,47.625
"Postprocedural disorders of circulatory system, not elsewhere classified (I97)",no.,0,0,0,3,1,4,NA,I97,NA,NA,NA
Other and unspecified disorders of circulatory system (I99),no.,8,7,15,282,249,531,35.4,I99,35.25,35.57142857142857,35.4
CHAPTER X Diseases of the respiratory system (J00-J99),no.,8690,8398,17088,39405,33360,72765,4.3,J00-J99,4.53452243958573,3.972374374851155,4.258251404494382
Acute upper respiratory infections (J00-J06),no.,2,2,4,31,36,67,16.8,J00-J06,15.5,18,16.75
Acute nasopharyngitis [common cold] (J00),no.,0,1,1,2,3,5,5,J00,NA,3,5
Acute sinusitis (J01),no.,0,0,0,1,0,1,NA,J01,NA,NA,NA
Acute pharyngitis (J02),no.,0,0,0,1,1,2,NA,J02,NA,NA,NA
Acute tonsillitis (J03),no.,1,0,1,2,0,2,2,J03,2,NA,2
Acute laryngitis and tracheitis (J04),no.,0,0,0,2,1,3,NA,J04,NA,NA,NA
Acute obstructive laryngitis [croup] and epiglottitis (J05),no.,0,0,0,1,0,1,NA,J05,NA,NA,NA
