cause_icd10,n_male,n_female,n_persons,crude_rate_male,crude_rate_female,crude_rate_persons,asr_male,asr_female,asr_persons,ypll_male,ypll_female,ypll_persons,state,state_abbr,year,icd10_code,cause_name,is_chapter,is_total
Other disorders of cartilage (M94),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,M94,Other disorders of cartilage,FALSE,FALSE
Other disorders of the musculoskeletal system and connective tissue (M95-M99),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,M95-M99,Other disorders of the musculoskeletal system and connective tissue,FALSE,FALSE
Other acquired deformities of musculoskeletal system and connective tissue (M95),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,M95,Other acquired deformities of musculoskeletal system and connective tissue,FALSE,FALSE
"Postprocedural musculoskeletal disorders, not elsewhere classified (M96)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,M96,"Postprocedural musculoskeletal disorders, not elsewhere classified",FALSE,FALSE
"Biomechanical lesions, not elsewhere classified (M99)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,M99,"Biomechanical lesions, not elsewhere classified",FALSE,FALSE
CHAPTER XIV Diseases of the genitourinary system (N00-N99),2353,2649,5002,17.4,19.3,18.4,13.9,11.8,12.8,5233,4012,9212,Australia,AUS,2024,N00-N99,CHAPTER XIV Diseases of the genitourinary system,TRUE,FALSE
Glomerular diseases (N00-N08),56,59,115,0.4,0.4,0.4,0.3,0.3,0.3,342,391,731,Australia,AUS,2024,N00-N08,Glomerular diseases,FALSE,FALSE
Acute nephritic syndrome (N00),15,27,42,0.1,0.2,0.2,NA,0.1,0.1,np,21,59,Australia,AUS,2024,N00,Acute nephritic syndrome,FALSE,FALSE
Rapidly progressive nephritic syndrome (N01),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N01,Rapidly progressive nephritic syndrome,FALSE,FALSE
Recurrent and persistent haematuria (N02),16,12,28,0.1,0.1,0.1,NA,NA,0.1,120,86,206,Australia,AUS,2024,N02,Recurrent and persistent haematuria,FALSE,FALSE
Chronic nephritic syndrome (N03),5,1,6,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,N03,Chronic nephritic syndrome,FALSE,FALSE
Nephrotic syndrome (N04),7,3,10,0.1,NA,NA,NA,NA,NA,np,np,145,Australia,AUS,2024,N04,Nephrotic syndrome,FALSE,FALSE
Unspecified nephritic syndrome (N05),13,16,29,0.1,0.1,0.1,NA,NA,0.1,107,176,283,Australia,AUS,2024,N05,Unspecified nephritic syndrome,FALSE,FALSE
Isolated proteinuria with specified morphological lesion (N06),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N06,Isolated proteinuria with specified morphological lesion,FALSE,FALSE
"Hereditary nephropathy, not elsewhere classified (N07)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N07,"Hereditary nephropathy, not elsewhere classified",FALSE,FALSE
Renal tubulo-interstitial diseases (N10-N16),83,88,171,0.6,0.6,0.6,0.5,0.4,0.5,353,274,626,Australia,AUS,2024,N10-N16,Renal tubulo-interstitial diseases,FALSE,FALSE
Acute tubulo-interstitial nephritis (N10),10,6,16,0.1,NA,0.1,NA,NA,NA,104,np,154,Australia,AUS,2024,N10,Acute tubulo-interstitial nephritis,FALSE,FALSE
Chronic tubulo-interstitial nephritis (N11),2,3,5,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N11,Chronic tubulo-interstitial nephritis,FALSE,FALSE
"Tubulo-interstitial nephritis, not specified as acute or chronic (N12)",11,25,36,0.1,0.2,0.1,NA,0.1,0.1,47,58,105,Australia,AUS,2024,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",FALSE,FALSE
Obstructive and reflux uropathy (N13),54,44,98,0.4,0.3,0.4,0.3,0.2,0.3,192,61,251,Australia,AUS,2024,N13,Obstructive and reflux uropathy,FALSE,FALSE
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions (N14),5,4,9,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,FALSE,FALSE
Other renal tubulo-interstitial diseases (N15),1,6,7,NA,NA,NA,NA,NA,NA,np,np,72,Australia,AUS,2024,N15,Other renal tubulo-interstitial diseases,FALSE,FALSE
Renal failure (N17-N19),1527,1634,3161,11.3,11.9,11.6,9,7.2,8.1,3173,2051,5197,Australia,AUS,2024,N17-N19,Renal failure,FALSE,FALSE
Acute renal failure (N17),189,250,439,1.4,1.8,1.6,1.1,1.1,1.1,307,264,569,Australia,AUS,2024,N17,Acute renal failure,FALSE,FALSE
Chronic kidney disease (N18),1117,1118,2235,8.3,8.2,8.2,6.6,5,5.7,2424,1500,3904,Australia,AUS,2024,N18,Chronic kidney disease,FALSE,FALSE
Unspecified kidney failure (N19),221,266,487,1.6,1.9,1.8,1.3,1.2,1.2,442,288,724,Australia,AUS,2024,N19,Unspecified kidney failure,FALSE,FALSE
Urolithiasis (N20-N23),49,50,99,0.4,0.4,0.4,0.3,0.2,0.3,119,122,240,Australia,AUS,2024,N20-N23,Urolithiasis,FALSE,FALSE
Calculus of kidney and ureter (N20),41,50,91,0.3,0.4,0.3,0.2,0.2,0.2,95,122,216,Australia,AUS,2024,N20,Calculus of kidney and ureter,FALSE,FALSE
Calculus of lower urinary tract (N21),8,0,8,0.1,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,N21,Calculus of lower urinary tract,FALSE,FALSE
Unspecified renal colic (N23),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N23,Unspecified renal colic,FALSE,FALSE
Other disorders of kidney and ureter (N25-N29),33,42,75,0.2,0.3,0.3,0.2,0.2,0.2,197,240,440,Australia,AUS,2024,N25-N29,Other disorders of kidney and ureter,FALSE,FALSE
Disorders resulting from impaired renal tubular function (N25),0,2,2,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N25,Disorders resulting from impaired renal tubular function,FALSE,FALSE
Unspecified contracted kidney (N26),5,8,13,NA,0.1,NA,NA,NA,NA,np,np,60,Australia,AUS,2024,N26,Unspecified contracted kidney,FALSE,FALSE
Small kidney of unknown cause (N27),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N27,Small kidney of unknown cause,FALSE,FALSE
"Other disorders of kidney and ureter, not elsewhere classified (N28)",28,32,60,0.2,0.2,0.2,0.2,0.2,0.2,168,170,341,Australia,AUS,2024,N28,"Other disorders of kidney and ureter, not elsewhere classified",FALSE,FALSE
Other diseases of urinary system (N30-N39),468,721,1189,3.5,5.3,4.4,2.8,3.2,3,699,659,1356,Australia,AUS,2024,N30-N39,Other diseases of urinary system,FALSE,FALSE
Cystitis (N30),8,7,15,0.1,0.1,0.1,NA,NA,NA,np,np,np,Australia,AUS,2024,N30,Cystitis,FALSE,FALSE
"Neuromuscular dysfunction of bladder, not elsewhere classified (N31)",5,5,10,NA,NA,NA,NA,NA,NA,np,np,np,Australia,AUS,2024,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",FALSE,FALSE
Other disorders of bladder (N32),24,12,36,0.2,0.1,0.1,0.1,NA,0.1,57,—,56,Australia,AUS,2024,N32,Other disorders of bladder,FALSE,FALSE
Urethritis and urethral syndrome (N34),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N34,Urethritis and urethral syndrome,FALSE,FALSE
Urethral stricture (N35),0,3,3,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N35,Urethral stricture,FALSE,FALSE
Other disorders of urethra (N36),2,1,3,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N36,Other disorders of urethra,FALSE,FALSE
Other disorders of urinary system (N39),429,693,1122,3.2,5.1,4.1,2.5,3,2.8,600,637,1236,Australia,AUS,2024,N39,Other disorders of urinary system,FALSE,FALSE
Diseases of male genital organs (N40-N51),137,0,137,1,NA,0.5,0.8,NA,0.4,350,—,343,Australia,AUS,2024,N40-N51,Diseases of male genital organs,FALSE,FALSE
Hyperplasia of prostate (N40),89,0,89,0.7,NA,0.3,0.5,NA,0.2,81,—,78,Australia,AUS,2024,N40,Hyperplasia of prostate,FALSE,FALSE
Inflammatory diseases of prostate (N41),12,0,12,0.1,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,N41,Inflammatory diseases of prostate,FALSE,FALSE
Other disorders of prostate (N42),2,0,2,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N42,Other disorders of prostate,FALSE,FALSE
Hydrocele and spermatocele (N43),1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N43,Hydrocele and spermatocele,FALSE,FALSE
Torsion of testis (N44),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N44,Torsion of testis,FALSE,FALSE
Orchitis and epididymitis (N45),8,0,8,0.1,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,N45,Orchitis and epididymitis,FALSE,FALSE
Male infertility (N46),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N46,Male infertility,FALSE,FALSE
"Redundant prepuce, phimosis and paraphimosis (N47)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N47,"Redundant prepuce, phimosis and paraphimosis",FALSE,FALSE
Other disorders of penis (N48),1,0,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N48,Other disorders of penis,FALSE,FALSE
"Inflammatory disorders of male genital organs, not elsewhere classified (N49)",21,0,21,0.2,NA,0.1,0.1,NA,0.1,209,—,206,Australia,AUS,2024,N49,"Inflammatory disorders of male genital organs, not elsewhere classified",FALSE,FALSE
Other disorders of male genital organs (N50),3,0,3,NA,NA,NA,NA,NA,NA,np,—,np,Australia,AUS,2024,N50,Other disorders of male genital organs,FALSE,FALSE
Disorders of breast (N60-N64),0,4,4,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N60-N64,Disorders of breast,FALSE,FALSE
Benign mammary dysplasia (N60),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N60,Benign mammary dysplasia,FALSE,FALSE
Inflammatory disorders of breast (N61),0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N61,Inflammatory disorders of breast,FALSE,FALSE
Hypertrophy of breast (N62),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N62,Hypertrophy of breast,FALSE,FALSE
Unspecified lump in breast (N63),0,2,2,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N63,Unspecified lump in breast,FALSE,FALSE
Other disorders of breast (N64),0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N64,Other disorders of breast,FALSE,FALSE
Inflammatory diseases of female pelvic organs (N70-N77),0,10,10,NA,0.1,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N70-N77,Inflammatory diseases of female pelvic organs,FALSE,FALSE
Salpingitis and oophoritis (N70),0,3,3,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N70,Salpingitis and oophoritis,FALSE,FALSE
"Inflammatory disease of uterus, except cervix (N71)",0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N71,"Inflammatory disease of uterus, except cervix",FALSE,FALSE
Inflammatory disease of cervix uteri (N72),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N72,Inflammatory disease of cervix uteri,FALSE,FALSE
Other female pelvic inflammatory diseases (N73),0,3,3,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N73,Other female pelvic inflammatory diseases,FALSE,FALSE
Diseases of Bartholin gland (N75),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N75,Diseases of Bartholin gland,FALSE,FALSE
Other inflammation of vagina and vulva (N76),0,3,3,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N76,Other inflammation of vagina and vulva,FALSE,FALSE
Noninflammatory disorders of female genital tract (N80-N98),0,41,41,NA,0.3,0.2,NA,0.2,0.1,—,207,211,Australia,AUS,2024,N80-N98,Noninflammatory disorders of female genital tract,FALSE,FALSE
Endometriosis (N80),0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N80,Endometriosis,FALSE,FALSE
Female genital prolapse (N81),0,6,6,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N81,Female genital prolapse,FALSE,FALSE
Fistulae involving female genital tract (N82),0,9,9,NA,0.1,NA,NA,NA,NA,—,24,25,Australia,AUS,2024,N82,Fistulae involving female genital tract,FALSE,FALSE
"Noninflammatory disorders of ovary, fallopian tube and broad ligament (N83)",0,8,8,NA,0.1,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",FALSE,FALSE
Polyp of female genital tract (N84),0,1,1,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N84,Polyp of female genital tract,FALSE,FALSE
"Other noninflammatory disorders of uterus, except cervix (N85)",0,11,11,NA,0.1,NA,NA,NA,NA,—,72,73,Australia,AUS,2024,N85,"Other noninflammatory disorders of uterus, except cervix",FALSE,FALSE
Erosion and ectropion of cervix uteri (N86),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N86,Erosion and ectropion of cervix uteri,FALSE,FALSE
Dysplasia of cervix uteri (N87),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N87,Dysplasia of cervix uteri,FALSE,FALSE
Other noninflammatory disorders of cervix uteri (N88),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N88,Other noninflammatory disorders of cervix uteri,FALSE,FALSE
Other noninflammatory disorders of vagina (N89),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N89,Other noninflammatory disorders of vagina,FALSE,FALSE
Other noninflammatory disorders of vulva and perineum (N90),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N90,Other noninflammatory disorders of vulva and perineum,FALSE,FALSE
"Absent, scanty and rare menstruation (N91)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N91,"Absent, scanty and rare menstruation",FALSE,FALSE
"Excessive, frequent and irregular menstruation (N92)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N92,"Excessive, frequent and irregular menstruation",FALSE,FALSE
Other abnormal uterine and vaginal bleeding (N93),0,3,3,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N93,Other abnormal uterine and vaginal bleeding,FALSE,FALSE
Pain and other conditions associated with female genital organs and menstrual cycle (N94),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N94,Pain and other conditions associated with female genital organs and menstrual cycle,FALSE,FALSE
Menopausal and other perimenopausal disorders (N95),0,2,2,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,N95,Menopausal and other perimenopausal disorders,FALSE,FALSE
Habitual aborter (N96),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N96,Habitual aborter,FALSE,FALSE
Female infertility (N97),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N97,Female infertility,FALSE,FALSE
Complications associated with artificial fertilization (N98),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N98,Complications associated with artificial fertilization,FALSE,FALSE
Other disorders of the genitourinary system (N99-N99),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N99-N99,Other disorders of the genitourinary system,FALSE,FALSE
"Postprocedural disorders of genitourinary system, not elsewhere classified (N99)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,N99,"Postprocedural disorders of genitourinary system, not elsewhere classified",FALSE,FALSE
"CHAPTER XV Pregnancy, childbirth and the puerperium (O00-O99)",0,5,5,NA,NA,NA,NA,NA,NA,—,247,245,Australia,AUS,2024,O00-O99,"CHAPTER XV Pregnancy, childbirth and the puerperium",TRUE,FALSE
Pregnancy with abortive outcome (O00-O08),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O00-O08,Pregnancy with abortive outcome,FALSE,FALSE
Ectopic pregnancy (O00),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O00,Ectopic pregnancy,FALSE,FALSE
Hydatidiform mole (O01),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O01,Hydatidiform mole,FALSE,FALSE
Other abnormal products of conception (O02),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O02,Other abnormal products of conception,FALSE,FALSE
Spontaneous abortion (O03),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O03,Spontaneous abortion,FALSE,FALSE
Medical abortion (O04),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O04,Medical abortion,FALSE,FALSE
Other abortion (O05),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O05,Other abortion,FALSE,FALSE
Unspecified abortion (O06),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O06,Unspecified abortion,FALSE,FALSE
Failed attempted abortion (O07),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O07,Failed attempted abortion,FALSE,FALSE
Complications following abortion and ectopic and molar pregnancy (O08),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O08,Complications following abortion and ectopic and molar pregnancy,FALSE,FALSE
"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",FALSE,FALSE
"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium (O10)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",FALSE,FALSE
Pre-existing hypertensive disorder with superimposed proteinuria (O11),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O11,Pre-existing hypertensive disorder with superimposed proteinuria,FALSE,FALSE
Gestational [pregnancy-induced] oedema and proteinuria without hypertension (O12),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O12,Gestational [pregnancy-induced] oedema and proteinuria without hypertension,FALSE,FALSE
Gestational [pregnancy-induced] hypertension without significant proteinuria (O13),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,FALSE,FALSE
Gestational [pregnancy-induced] hypertension with significant proteinuria (O14),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O14,Gestational [pregnancy-induced] hypertension with significant proteinuria,FALSE,FALSE
Eclampsia (O15),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O15,Eclampsia,FALSE,FALSE
Unspecified maternal hypertension (O16),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O16,Unspecified maternal hypertension,FALSE,FALSE
Other maternal disorders predominantly related to pregnancy (O20-O29),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O20-O29,Other maternal disorders predominantly related to pregnancy,FALSE,FALSE
Haemorrhage in early pregnancy (O20),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O20,Haemorrhage in early pregnancy,FALSE,FALSE
Excessive vomiting in pregnancy (O21),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O21,Excessive vomiting in pregnancy,FALSE,FALSE
Venous complications in pregnancy (O22),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O22,Venous complications in pregnancy,FALSE,FALSE
Infections of genitourinary tract in pregnancy (O23),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O23,Infections of genitourinary tract in pregnancy,FALSE,FALSE
Diabetes mellitus in pregnancy (O24),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O24,Diabetes mellitus in pregnancy,FALSE,FALSE
Malnutrition in pregnancy (O25),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O25,Malnutrition in pregnancy,FALSE,FALSE
Maternal care for other conditions predominantly related to pregnancy (O26),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O26,Maternal care for other conditions predominantly related to pregnancy,FALSE,FALSE
Abnormal findings on antenatal screening of mother (O28),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O28,Abnormal findings on antenatal screening of mother,FALSE,FALSE
Complications of anaesthesia during pregnancy (O29),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O29,Complications of anaesthesia during pregnancy,FALSE,FALSE
Maternal care related to the fetus and amniotic cavity and possible delivery problems (O30-O48),0,2,2,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,FALSE,FALSE
Multiple gestation (O30),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O30,Multiple gestation,FALSE,FALSE
Complications specific to multiple gestation (O31),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O31,Complications specific to multiple gestation,FALSE,FALSE
Maternal care for known or suspected malpresentation of fetus (O32),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O32,Maternal care for known or suspected malpresentation of fetus,FALSE,FALSE
Maternal care for known or suspected disproportion (O33),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O33,Maternal care for known or suspected disproportion,FALSE,FALSE
Maternal care for known or suspected abnormality of pelvic organs (O34),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O34,Maternal care for known or suspected abnormality of pelvic organs,FALSE,FALSE
Maternal care for known or suspected fetal abnormality and damage (O35),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O35,Maternal care for known or suspected fetal abnormality and damage,FALSE,FALSE
Maternal care for other known or suspected fetal problems (O36),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O36,Maternal care for other known or suspected fetal problems,FALSE,FALSE
Polyhydramnios (O40),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O40,Polyhydramnios,FALSE,FALSE
Other disorders of amniotic fluid and membranes (O41),0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,O41,Other disorders of amniotic fluid and membranes,FALSE,FALSE
Premature rupture of membranes (O42),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O42,Premature rupture of membranes,FALSE,FALSE
Placental disorders (O43),0,1,1,NA,NA,NA,NA,NA,NA,—,np,np,Australia,AUS,2024,O43,Placental disorders,FALSE,FALSE
Placenta praevia (O44),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O44,Placenta praevia,FALSE,FALSE
Premature separation of placenta [abruptio placentae] (O45),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O45,Premature separation of placenta [abruptio placentae],FALSE,FALSE
"Antepartum haemorrhage, not elsewhere classified (O46)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O46,"Antepartum haemorrhage, not elsewhere classified",FALSE,FALSE
False labour (O47),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O47,False labour,FALSE,FALSE
Prolonged pregnancy (O48),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O48,Prolonged pregnancy,FALSE,FALSE
Complications of labour and delivery (O60-O75),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O60-O75,Complications of labour and delivery,FALSE,FALSE
Preterm labour and delivery (O60),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O60,Preterm labour and delivery,FALSE,FALSE
Failed induction of labour (O61),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O61,Failed induction of labour,FALSE,FALSE
Abnormalities of forces of labour (O62),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O62,Abnormalities of forces of labour,FALSE,FALSE
Long labour (O63),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O63,Long labour,FALSE,FALSE
Obstructed labour due to malposition and malpresentation of fetus (O64),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O64,Obstructed labour due to malposition and malpresentation of fetus,FALSE,FALSE
Obstructed labour due to maternal pelvic abnormality (O65),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O65,Obstructed labour due to maternal pelvic abnormality,FALSE,FALSE
Other obstructed labour (O66),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O66,Other obstructed labour,FALSE,FALSE
"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified (O67)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O67,"Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified",FALSE,FALSE
Labour and delivery complicated by fetal stress [distress] (O68),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O68,Labour and delivery complicated by fetal stress [distress],FALSE,FALSE
Labour and delivery complicated by umbilical cord complications (O69),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O69,Labour and delivery complicated by umbilical cord complications,FALSE,FALSE
Perineal laceration during delivery (O70),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O70,Perineal laceration during delivery,FALSE,FALSE
Other obstetric trauma (O71),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O71,Other obstetric trauma,FALSE,FALSE
Postpartum haemorrhage (O72),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O72,Postpartum haemorrhage,FALSE,FALSE
"Retained placenta and membranes, without haemorrhage (O73)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O73,"Retained placenta and membranes, without haemorrhage",FALSE,FALSE
Complications of anaesthesia during labour and delivery (O74),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O74,Complications of anaesthesia during labour and delivery,FALSE,FALSE
"Other complications of labour and delivery, not elsewhere classified (O75)",0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O75,"Other complications of labour and delivery, not elsewhere classified",FALSE,FALSE
Delivery (O80-O84),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O80-O84,Delivery,FALSE,FALSE
Single spontaneous delivery (O80),0,0,0,NA,NA,NA,NA,NA,NA,—,—,—,Australia,AUS,2024,O80,Single spontaneous delivery,FALSE,FALSE
