cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Myasthenia gravis and other myoneural disorders (G70),no.,33,32,65,89,73,162,2.5,G70,Myasthenia gravis and other myoneural disorders,FALSE,FALSE,2.4923076923076923,2.696969696969697,2.28125
Primary disorders of muscles (G71),no.,71,57,128,114,78,192,1.5,G71,Primary disorders of muscles,FALSE,FALSE,1.5,1.6056338028169015,1.368421052631579
Other myopathies (G72),no.,36,22,58,74,46,120,2.1,G72,Other myopathies,FALSE,FALSE,2.0689655172413794,2.0555555555555554,2.090909090909091
Cerebral palsy and other paralytic syndromes (G80-G83),no.,113,94,207,388,289,677,3.3,G80-G83,Cerebral palsy and other paralytic syndromes,FALSE,FALSE,3.2705314009661834,3.433628318584071,3.074468085106383
Cerebral palsy (G80),no.,63,69,132,135,122,257,1.9,G80,Cerebral palsy,FALSE,FALSE,1.946969696969697,2.142857142857143,1.7681159420289856
Hemiplegia (G81),no.,0,5,5,90,83,173,34.6,G81,Hemiplegia,FALSE,FALSE,34.6,NA,16.6
Paraplegia and tetraplegia (G82),no.,46,15,61,138,59,197,3.2,G82,Paraplegia and tetraplegia,FALSE,FALSE,3.2295081967213113,3,3.933333333333333
Other paralytic syndromes (G83),no.,4,5,9,25,25,50,5.6,G83,Other paralytic syndromes,FALSE,FALSE,5.555555555555555,6.25,5
Other disorders of the nervous system (G90-G99),no.,202,135,337,1446,881,2327,6.9,G90-G99,Other disorders of the nervous system,FALSE,FALSE,6.905044510385757,7.1584158415841586,6.525925925925926
Disorders of autonomic nervous system (G90),no.,9,9,18,57,25,82,4.5999999999999996,G90,Disorders of autonomic nervous system,FALSE,FALSE,4.555555555555555,6.333333333333333,2.7777777777777777
Hydrocephalus (G91),no.,16,24,40,152,129,281,7,G91,Hydrocephalus,FALSE,FALSE,7.025,9.5,5.375
Toxic encephalopathy (G92),no.,1,0,1,8,2,10,10,G92,Toxic encephalopathy,FALSE,FALSE,10,8,NA
Other disorders of brain (G93),no.,138,69,207,1046,597,1643,7.9,G93,Other disorders of brain,FALSE,FALSE,7.93719806763285,7.579710144927536,8.652173913043478
Other diseases of spinal cord (G95),no.,24,8,32,126,63,189,5.9,G95,Other diseases of spinal cord,FALSE,FALSE,5.90625,5.25,7.875
Other disorders of central nervous system (G96),no.,12,25,37,44,60,104,2.8,G96,Other disorders of central nervous system,FALSE,FALSE,2.810810810810811,3.6666666666666665,2.4
"Postprocedural disorders of nervous system, not elsewhere classified (G97)",no.,0,0,0,1,0,1,—,G97,"Postprocedural disorders of nervous system, not elsewhere classified",FALSE,FALSE,NA,NA,NA
"Other disorders of nervous system, not elsewhere classified (G98)",no.,2,0,2,12,5,17,8.5,G98,"Other disorders of nervous system, not elsewhere classified",FALSE,FALSE,8.5,6,NA
CHAPTER VII Diseases of the eye and adnexa (H00-H59),no.,2,11,13,414,581,995,76.5,H00-H59,CHAPTER VII Diseases of the eye and adnexa,TRUE,FALSE,76.53846153846153,207,52.81818181818182
"Disorders of eyelid, lacrimal system and orbit (H00-H06)",no.,1,0,1,7,6,13,13,H00-H06,"Disorders of eyelid, lacrimal system and orbit",FALSE,FALSE,13,7,NA
Hordeolum and chalazion (H00),no.,0,0,0,0,0,0,—,H00,Hordeolum and chalazion,FALSE,FALSE,NA,NA,NA
Other inflammation of eyelid (H01),no.,0,0,0,0,0,0,—,H01,Other inflammation of eyelid,FALSE,FALSE,NA,NA,NA
Other disorders of eyelid (H02),no.,0,0,0,0,0,0,—,H02,Other disorders of eyelid,FALSE,FALSE,NA,NA,NA
Disorders of lacrimal system (H04),no.,0,0,0,1,1,2,—,H04,Disorders of lacrimal system,FALSE,FALSE,NA,NA,NA
Disorders of orbit (H05),no.,1,0,1,6,5,11,11,H05,Disorders of orbit,FALSE,FALSE,11,6,NA
Disorders of conjunctiva (H10-H13),no.,0,0,0,3,1,4,—,H10-H13,Disorders of conjunctiva,FALSE,FALSE,NA,NA,NA
Conjunctivitis (H10),no.,0,0,0,1,1,2,—,H10,Conjunctivitis,FALSE,FALSE,NA,NA,NA
Other disorders of conjunctiva (H11),no.,0,0,0,2,0,2,—,H11,Other disorders of conjunctiva,FALSE,FALSE,NA,NA,NA
"Disorders of sclera, cornea, iris and ciliary body (H15-H22)",no.,0,2,2,6,9,15,7.5,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",FALSE,FALSE,7.5,NA,4.5
Disorders of sclera (H15),no.,0,0,0,0,0,0,—,H15,Disorders of sclera,FALSE,FALSE,NA,NA,NA
Keratitis (H16),no.,0,2,2,4,3,7,3.5,H16,Keratitis,FALSE,FALSE,3.5,NA,1.5
Corneal scars and opacities (H17),no.,0,0,0,0,0,0,—,H17,Corneal scars and opacities,FALSE,FALSE,NA,NA,NA
Other disorders of cornea (H18),no.,0,0,0,2,3,5,—,H18,Other disorders of cornea,FALSE,FALSE,NA,NA,NA
Iridocyclitis (H20),no.,0,0,0,0,3,3,—,H20,Iridocyclitis,FALSE,FALSE,NA,NA,NA
Other disorders of iris and ciliary body (H21),no.,0,0,0,0,0,0,—,H21,Other disorders of iris and ciliary body,FALSE,FALSE,NA,NA,NA
Disorders of lens (H25-H28),no.,0,0,0,46,45,91,—,H25-H28,Disorders of lens,FALSE,FALSE,NA,NA,NA
Senile cataract (H25),no.,0,0,0,0,0,0,—,H25,Senile cataract,FALSE,FALSE,NA,NA,NA
Other cataract (H26),no.,0,0,0,46,45,91,—,H26,Other cataract,FALSE,FALSE,NA,NA,NA
Other disorders of lens (H27),no.,0,0,0,0,0,0,—,H27,Other disorders of lens,FALSE,FALSE,NA,NA,NA
Disorders of choroid and retina (H30-H36),no.,1,6,7,109,206,315,45,H30-H36,Disorders of choroid and retina,FALSE,FALSE,45,109,34.333333333333336
Chorioretinal inflammation (H30),no.,0,0,0,0,0,0,—,H30,Chorioretinal inflammation,FALSE,FALSE,NA,NA,NA
Other disorders of choroid (H31),no.,0,0,0,0,0,0,—,H31,Other disorders of choroid,FALSE,FALSE,NA,NA,NA
Retinal detachments and breaks (H33),no.,0,0,0,6,2,8,—,H33,Retinal detachments and breaks,FALSE,FALSE,NA,NA,NA
Retinal vascular occlusions (H34),no.,0,0,0,3,9,12,—,H34,Retinal vascular occlusions,FALSE,FALSE,NA,NA,NA
Other retinal disorders (H35),no.,1,6,7,100,195,295,42.1,H35,Other retinal disorders,FALSE,FALSE,42.142857142857146,100,32.5
Glaucoma (H40-H42),no.,0,2,2,107,171,278,139,H40-H42,Glaucoma,FALSE,FALSE,139,NA,85.5
Glaucoma (H40),no.,0,2,2,107,171,278,139,H40,Glaucoma,FALSE,FALSE,139,NA,85.5
Disorders of vitreous body and globe (H43-H45),no.,0,0,0,8,5,13,—,H43-H45,Disorders of vitreous body and globe,FALSE,FALSE,NA,NA,NA
Disorders of vitreous body (H43),no.,0,0,0,6,1,7,—,H43,Disorders of vitreous body,FALSE,FALSE,NA,NA,NA
Disorders of globe (H44),no.,0,0,0,2,4,6,—,H44,Disorders of globe,FALSE,FALSE,NA,NA,NA
Disorders of optic nerve and visual pathways (H46-H48),no.,0,0,0,5,7,12,—,H46-H48,Disorders of optic nerve and visual pathways,FALSE,FALSE,NA,NA,NA
Optic neuritis (H46),no.,0,0,0,1,4,5,—,H46,Optic neuritis,FALSE,FALSE,NA,NA,NA
Other disorders of optic [2nd] nerve and visual pathways (H47),no.,0,0,0,4,3,7,—,H47,Other disorders of optic [2nd] nerve and visual pathways,FALSE,FALSE,NA,NA,NA
"Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)",no.,0,1,1,1,3,4,4,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",FALSE,FALSE,4,NA,3
Paralytic strabismus (H49),no.,0,1,1,1,3,4,4,H49,Paralytic strabismus,FALSE,FALSE,4,NA,3
Other strabismus (H50),no.,0,0,0,0,0,0,—,H50,Other strabismus,FALSE,FALSE,NA,NA,NA
Other disorders of binocular movement (H51),no.,0,0,0,0,0,0,—,H51,Other disorders of binocular movement,FALSE,FALSE,NA,NA,NA
Disorders of refraction and accommodation (H52),no.,0,0,0,0,0,0,—,H52,Disorders of refraction and accommodation,FALSE,FALSE,NA,NA,NA
Visual disturbances and blindness (H53-H54),no.,0,0,0,117,125,242,—,H53-H54,Visual disturbances and blindness,FALSE,FALSE,NA,NA,NA
Visual disturbances (H53),no.,0,0,0,7,3,10,—,H53,Visual disturbances,FALSE,FALSE,NA,NA,NA
Visual impairment including blindness (binocular or monocular) (H54),no.,0,0,0,110,122,232,—,H54,Visual impairment including blindness,FALSE,FALSE,NA,NA,NA
Other disorders of eye and adnexa (H55-H59),no.,0,0,0,5,3,8,—,H55-H59,Other disorders of eye and adnexa,FALSE,FALSE,NA,NA,NA
Nystagmus and other irregular eye movements (H55),no.,0,0,0,0,0,0,—,H55,Nystagmus and other irregular eye movements,FALSE,FALSE,NA,NA,NA
Other disorders of eye and adnexa (H57),no.,0,0,0,5,3,8,—,H57,Other disorders of eye and adnexa,FALSE,FALSE,NA,NA,NA
"Postprocedural disorders of eye and adnexa, not elsewhere classified (H59)",no.,0,0,0,0,0,0,—,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified",FALSE,FALSE,NA,NA,NA
CHAPTER VIII Diseases of the ear and mastoid process (H60-H95),no.,10,9,19,158,129,287,15.1,H60-H95,CHAPTER VIII Diseases of the ear and mastoid process,TRUE,FALSE,15.105263157894736,15.8,14.333333333333334
Diseases of external ear (H60-H62),no.,0,3,3,10,3,13,4.3,H60-H62,Diseases of external ear,FALSE,FALSE,4.333333333333333,NA,1
Otitis externa (H60),no.,0,3,3,10,3,13,4.3,H60,Otitis externa,FALSE,FALSE,4.333333333333333,NA,1
Other disorders of external ear (H61),no.,0,0,0,0,0,0,—,H61,Other disorders of external ear,FALSE,FALSE,NA,NA,NA
Diseases of middle ear and mastoid (H65-H75),no.,10,4,14,21,10,31,2.2000000000000002,H65-H75,Diseases of middle ear and mastoid,FALSE,FALSE,2.2142857142857144,2.1,2.5
Nonsuppurative otitis media (H65),no.,0,0,0,0,0,0,—,H65,Nonsuppurative otitis media,FALSE,FALSE,NA,NA,NA
Suppurative and unspecified otitis media (H66),no.,3,3,6,7,5,12,2,H66,Suppurative and unspecified otitis media,FALSE,FALSE,2,2.3333333333333335,1.6666666666666667
Eustachian salpingitis and obstruction (H68),no.,0,0,0,0,0,0,—,H68,Eustachian salpingitis and obstruction,FALSE,FALSE,NA,NA,NA
Other disorders of Eustachian tube (H69),no.,0,0,0,0,0,0,—,H69,Other disorders of Eustachian tube,FALSE,FALSE,NA,NA,NA
Mastoiditis and related conditions (H70),no.,7,1,8,14,4,18,2.2999999999999998,H70,Mastoiditis and related conditions,FALSE,FALSE,2.25,2,4
Cholesteatoma of middle ear (H71),no.,0,0,0,0,0,0,—,H71,Cholesteatoma of middle ear,FALSE,FALSE,NA,NA,NA
Perforation of tympanic membrane (H72),no.,0,0,0,0,0,0,—,H72,Perforation of tympanic membrane,FALSE,FALSE,NA,NA,NA
Other disorders of tympanic membrane (H73),no.,0,0,0,0,0,0,—,H73,Other disorders of tympanic membrane,FALSE,FALSE,NA,NA,NA
Other disorders of middle ear and mastoid (H74),no.,0,0,0,0,1,1,—,H74,Other disorders of middle ear and mastoid,FALSE,FALSE,NA,NA,NA
Diseases of inner ear (H80-H83),no.,0,0,0,14,24,38,—,H80-H83,Diseases of inner ear,FALSE,FALSE,NA,NA,NA
Otosclerosis (H80),no.,0,0,0,0,0,0,—,H80,Otosclerosis,FALSE,FALSE,NA,NA,NA
Disorders of vestibular function (H81),no.,0,0,0,14,24,38,—,H81,Disorders of vestibular function,FALSE,FALSE,NA,NA,NA
Other diseases of inner ear (H83),no.,0,0,0,0,0,0,—,H83,Other diseases of inner ear,FALSE,FALSE,NA,NA,NA
Other disorders of ear (H90-H95),no.,0,2,2,113,92,205,102.5,H90-H95,Other disorders of ear,FALSE,FALSE,102.5,NA,46
Conductive and sensorineural hearing loss (H90),no.,0,0,0,4,3,7,—,H90,Conductive and sensorineural hearing loss,FALSE,FALSE,NA,NA,NA
Other hearing loss (H91),no.,0,2,2,103,88,191,95.5,H91,Other hearing loss,FALSE,FALSE,95.5,NA,44
Otalgia and effusion of ear (H92),no.,0,0,0,0,0,0,—,H92,Otalgia and effusion of ear,FALSE,FALSE,NA,NA,NA
"Other disorders of ear, not elsewhere classified (H93)",no.,0,0,0,6,1,7,—,H93,"Other disorders of ear, not elsewhere classified",FALSE,FALSE,NA,NA,NA
"Postprocedural disorders of ear and mastoid process, not elsewhere classified (H95)",no.,0,0,0,0,0,0,—,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",FALSE,FALSE,NA,NA,NA
CHAPTER IX Diseases of the circulatory system (I00-I99),no.,22081,20217,42298,92559,80562,173121,4.0999999999999996,I00-I99,CHAPTER IX Diseases of the circulatory system,TRUE,FALSE,4.092888552650243,4.191793849916218,3.984864223178513
Acute rheumatic fever (I00-I02),no.,9,19,28,28,55,83,3,I00-I02,Acute rheumatic fever,FALSE,FALSE,2.9642857142857144,3.111111111111111,2.8947368421052633
Rheumatic fever without mention of heart involvement (I00),no.,0,0,0,10,19,29,—,I00,Rheumatic fever without mention of heart involvement,FALSE,FALSE,NA,NA,NA
Rheumatic fever with heart involvement (I01),no.,9,19,28,18,36,54,1.9,I01,Rheumatic fever with heart involvement,FALSE,FALSE,1.9285714285714286,2,1.894736842105263
Rheumatic chorea (I02),no.,0,0,0,0,0,0,—,I02,Rheumatic chorea,FALSE,FALSE,NA,NA,NA
Chronic rheumatic heart diseases (I05-I09),no.,133,215,348,397,577,974,2.8,I05-I09,Chronic rheumatic heart diseases,FALSE,FALSE,2.7988505747126435,2.9849624060150375,2.683720930232558
Rheumatic mitral valve diseases (I05),no.,54,68,122,203,249,452,3.7,I05,Rheumatic mitral valve diseases,FALSE,FALSE,3.7049180327868854,3.759259259259259,3.661764705882353
Rheumatic aortic valve diseases (I06),no.,0,1,1,5,4,9,9,I06,Rheumatic aortic valve diseases,FALSE,FALSE,9,NA,4
Rheumatic tricuspid valve diseases (I07),no.,23,48,71,92,144,236,3.3,I07,Rheumatic tricuspid valve diseases,FALSE,FALSE,3.323943661971831,4,3
Multiple valve diseases (I08),no.,44,68,112,52,76,128,1.1000000000000001,I08,Multiple valve diseases,FALSE,FALSE,1.1428571428571428,1.1818181818181819,1.1176470588235294
Other rheumatic heart diseases (I09),no.,12,30,42,45,104,149,3.5,I09,Other rheumatic heart diseases,FALSE,FALSE,3.5476190476190474,3.75,3.466666666666667
Hypertensive diseases (I10-I15),no.,1185,1677,2862,13202,13891,27093,9.5,I10-I15,Hypertensive diseases,FALSE,FALSE,9.466457023060796,11.140928270042194,8.28324388789505
Essential (primary) hypertension (I10),no.,269,575,844,11253,12167,23420,27.7,I10,Essential,FALSE,FALSE,27.748815165876778,41.83271375464684,21.16
Hypertensive heart disease (I11),no.,500,614,1114,1154,914,2068,1.9,I11,Hypertensive heart disease,FALSE,FALSE,1.8563734290843805,2.308,1.488599348534202
Hypertensive renal disease (I12),no.,161,250,411,227,299,526,1.3,I12,Hypertensive renal disease,FALSE,FALSE,1.2798053527980535,1.4099378881987579,1.196
Hypertensive heart and renal disease (I13),no.,255,238,493,488,397,885,1.8,I13,Hypertensive heart and renal disease,FALSE,FALSE,1.795131845841785,1.9137254901960785,1.6680672268907564
Secondary hypertension (I15),no.,0,0,0,80,114,194,—,I15,Secondary hypertension,FALSE,FALSE,NA,NA,NA
Ischaemic heart diseases (I20-I25),no.,10153,6122,16275,24720,14257,38977,2.4,I20-I25,Ischaemic heart diseases,FALSE,FALSE,2.394900153609831,2.434748350241308,2.328814113034956
Angina pectoris (I20),no.,10,9,19,62,73,135,7.1,I20,Angina pectoris,FALSE,FALSE,7.105263157894737,6.2,8.11111111111111
Acute myocardial infarction (I21),no.,3232,2311,5543,5152,3759,8911,1.6,I21,Acute myocardial infarction,FALSE,FALSE,1.6076132058452102,1.5940594059405941,1.6265685850281264
Subsequent myocardial infarction (I22),no.,0,0,0,0,0,0,—,I22,Subsequent myocardial infarction,FALSE,FALSE,NA,NA,NA
Certain current complications following acute myocardial infarction (I23),no.,0,0,0,8,6,14,—,I23,Certain current complications following acute myocardial infarction,FALSE,FALSE,NA,NA,NA
Other acute ischaemic heart diseases (I24),no.,257,212,469,682,494,1176,2.5,I24,Other acute ischaemic heart diseases,FALSE,FALSE,2.5074626865671643,2.6536964980544746,2.330188679245283
Chronic ischaemic heart disease (I25),no.,6654,3590,10244,18816,9925,28741,2.8,I25,Chronic ischaemic heart disease,FALSE,FALSE,2.8056423272159314,2.8277727682596936,2.764623955431755
Pulmonary heart disease and diseases of pulmonary circulation (I26-I28),no.,404,519,923,2810,3099,5909,6.4,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,FALSE,FALSE,6.401950162513542,6.955445544554456,5.971098265895954
Pulmonary embolism (I26),no.,195,213,408,1747,1723,3470,8.5,I26,Pulmonary embolism,FALSE,FALSE,8.504901960784315,8.95897435897436,8.089201877934272
Other pulmonary heart diseases (I27),no.,203,303,506,1052,1367,2419,4.8,I27,Other pulmonary heart diseases,FALSE,FALSE,4.780632411067193,5.182266009852217,4.511551155115511
Other diseases of pulmonary vessels (I28),no.,6,3,9,11,9,20,2.2000000000000002,I28,Other diseases of pulmonary vessels,FALSE,FALSE,2.2222222222222223,1.8333333333333333,3
Other forms of heart disease (I30-I52),no.,4854,5542,10396,35418,33215,68633,6.6,I30-I52,Other forms of heart disease,FALSE,FALSE,6.601866102347056,7.296662546353523,5.993323709852039
Acute pericarditis (I30),no.,1,1,2,4,3,7,3.5,I30,Acute pericarditis,FALSE,FALSE,3.5,4,3
Other diseases of pericardium (I31),no.,52,44,96,327,278,605,6.3,I31,Other diseases of pericardium,FALSE,FALSE,6.302083333333333,6.288461538461538,6.318181818181818
Acute and subacute endocarditis (I33),no.,148,68,216,333,156,489,2.2999999999999998,I33,Acute and subacute endocarditis,FALSE,FALSE,2.263888888888889,2.25,2.2941176470588234
Nonrheumatic mitral valve disorders (I34),no.,111,152,263,359,412,771,2.9,I34,Nonrheumatic mitral valve disorders,FALSE,FALSE,2.931558935361217,3.234234234234234,2.710526315789474
Nonrheumatic aortic valve disorders (I35),no.,597,639,1236,1909,1639,3548,2.9,I35,Nonrheumatic aortic valve disorders,FALSE,FALSE,2.870550161812298,3.1976549413735342,2.564945226917058
Nonrheumatic tricuspid valve disorders (I36),no.,1,0,1,5,13,18,18,I36,Nonrheumatic tricuspid valve disorders,FALSE,FALSE,18,5,NA
Pulmonary valve disorders (I37),no.,1,1,2,3,3,6,3,I37,Pulmonary valve disorders,FALSE,FALSE,3,3,3
"Endocarditis, valve unspecified (I38)",no.,160,204,364,580,560,1140,3.1,I38,"Endocarditis, valve unspecified",FALSE,FALSE,3.131868131868132,3.625,2.7450980392156863
Acute myocarditis (I40),no.,11,8,19,16,15,31,1.6,I40,Acute myocarditis,FALSE,FALSE,1.631578947368421,1.4545454545454546,1.875
Cardiomyopathy (I42),no.,685,398,1083,1636,1060,2696,2.5,I42,Cardiomyopathy,FALSE,FALSE,2.48938134810711,2.3883211678832117,2.663316582914573
Atrioventricular and left bundle-branch block (I44),no.,45,53,98,285,238,523,5.3,I44,Atrioventricular and left bundle-branch block,FALSE,FALSE,5.336734693877551,6.333333333333333,4.490566037735849
Other conduction disorders (I45),no.,47,30,77,590,383,973,12.6,I45,Other conduction disorders,FALSE,FALSE,12.636363636363637,12.553191489361701,12.766666666666667
Cardiac arrest (I46),no.,7,2,9,4953,4572,9525,1058.3,I46,Cardiac arrest,FALSE,FALSE,1058.3333333333333,707.5714285714286,2286
Paroxysmal tachycardia (I47),no.,19,18,37,237,151,388,10.5,I47,Paroxysmal tachycardia,FALSE,FALSE,10.486486486486486,12.473684210526315,8.38888888888889
Atrial fibrillation and flutter (I48),no.,921,1516,2437,8528,8688,17216,7.1,I48,Atrial fibrillation and flutter,FALSE,FALSE,7.064423471481329,9.259500542888166,5.730870712401056
Other cardiac arrhythmias (I49),no.,110,89,199,1180,768,1948,9.8000000000000007,I49,Other cardiac arrhythmias,FALSE,FALSE,9.78894472361809,10.727272727272727,8.629213483146067
Heart failure (I50),no.,1640,2060,3700,12593,13012,25605,6.9,I50,Heart failure,FALSE,FALSE,6.9202702702702705,7.678658536585366,6.316504854368932
Complications and ill-defined descriptions of heart disease (I51),no.,298,259,557,1880,1264,3144,5.6,I51,Complications and ill-defined descriptions of heart disease,FALSE,FALSE,5.644524236983842,6.308724832214765,4.88030888030888
Cerebrovascular diseases (I60-I69),no.,4079,5068,9147,10405,11315,21720,2.4,I60-I69,Cerebrovascular diseases,FALSE,FALSE,2.374549032469662,2.5508703113508213,2.2326361483820047
Subarachnoid haemorrhage (I60),no.,244,376,620,356,495,851,1.4,I60,Subarachnoid haemorrhage,FALSE,FALSE,1.3725806451612903,1.459016393442623,1.3164893617021276
Intracerebral haemorrhage (I61),no.,653,695,1348,1155,1126,2281,1.7,I61,Intracerebral haemorrhage,FALSE,FALSE,1.6921364985163205,1.768759571209801,1.6201438848920864
Other nontraumatic intracranial haemorrhage (I62),no.,571,524,1095,1080,942,2022,1.8,I62,Other nontraumatic intracranial haemorrhage,FALSE,FALSE,1.8465753424657534,1.8914185639229422,1.797709923664122
Cerebral infarction (I63),no.,715,814,1529,1592,1655,3247,2.1,I63,Cerebral infarction,FALSE,FALSE,2.1236102027468933,2.2265734265734265,2.033169533169533
"Stroke, not specified as haemorrhage or infarction (I64)",no.,1316,1992,3308,3481,4239,7720,2.2999999999999998,I64,"Stroke, not specified as haemorrhage or infarction",FALSE,FALSE,2.3337363966142686,2.6451367781155017,2.128012048192771
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction (I65)",no.,0,0,0,7,1,8,—,I65,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction",FALSE,FALSE,NA,NA,NA
"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction (I66)",no.,0,0,0,2,1,3,—,I66,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",FALSE,FALSE,NA,NA,NA
Other cerebrovascular diseases (I67),no.,178,278,456,921,1130,2051,4.5,I67,Other cerebrovascular diseases,FALSE,FALSE,4.49780701754386,5.174157303370786,4.0647482014388485
Sequelae of cerebrovascular disease (I69),no.,402,389,791,1811,1726,3537,4.5,I69,Sequelae of cerebrovascular disease,FALSE,FALSE,4.471554993678888,4.5049751243781095,4.4370179948586115
"Diseases of arteries, arterioles and capillaries (I70-I79)",no.,1118,895,2013,4113,2717,6830,3.4,I70-I79,"Diseases of arteries, arterioles and capillaries",FALSE,FALSE,3.3929458519622453,3.678890876565295,3.035754189944134
Atherosclerosis (I70),no.,20,22,42,414,341,755,18,I70,Atherosclerosis,FALSE,FALSE,17.976190476190474,20.7,15.5
Aortic aneurysm and dissection (I71),no.,639,413,1052,1180,666,1846,1.8,I71,Aortic aneurysm and dissection,FALSE,FALSE,1.7547528517110267,1.8466353677621283,1.612590799031477
Other aneurysm and dissection (I72),no.,45,35,80,105,93,198,2.5,I72,Other aneurysm and dissection,FALSE,FALSE,2.475,2.3333333333333335,2.657142857142857
Other peripheral vascular diseases (I73),no.,319,326,645,2039,1292,3331,5.2,I73,Other peripheral vascular diseases,FALSE,FALSE,5.164341085271317,6.391849529780564,3.96319018404908
Arterial embolism and thrombosis (I74),no.,26,28,54,158,129,287,5.3,I74,Arterial embolism and thrombosis,FALSE,FALSE,5.314814814814815,6.076923076923077,4.607142857142857
Other disorders of arteries and arterioles (I77),no.,64,65,129,201,178,379,2.9,I77,Other disorders of arteries and arterioles,FALSE,FALSE,2.937984496124031,3.140625,2.7384615384615385
Diseases of capillaries (I78),no.,5,6,11,16,18,34,3.1,I78,Diseases of capillaries,FALSE,FALSE,3.090909090909091,3.2,3
"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",no.,134,149,283,983,1003,1986,7,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",FALSE,FALSE,7.017667844522968,7.335820895522388,6.731543624161074
Phlebitis and thrombophlebitis (I80),no.,89,85,174,467,519,986,5.7,I80,Phlebitis and thrombophlebitis,FALSE,FALSE,5.666666666666667,5.247191011235955,6.105882352941176
Portal vein thrombosis (I81),no.,7,6,13,87,46,133,10.199999999999999,I81,Portal vein thrombosis,FALSE,FALSE,10.23076923076923,12.428571428571429,7.666666666666667
Other venous embolism and thrombosis (I82),no.,7,8,15,128,111,239,15.9,I82,Other venous embolism and thrombosis,FALSE,FALSE,15.933333333333334,18.285714285714285,13.875
Varicose veins of lower extremities (I83),no.,19,25,44,44,62,106,2.4,I83,Varicose veins of lower extremities,FALSE,FALSE,2.409090909090909,2.3157894736842106,2.48
Haemorrhoids (I84),no.,0,0,0,0,0,0,—,I84,Haemorrhoids,FALSE,FALSE,NA,NA,NA
Oesophageal varices (I85),no.,4,4,8,127,63,190,23.8,I85,Oesophageal varices,FALSE,FALSE,23.75,31.75,15.75
Varicose veins of other sites (I86),no.,0,0,0,13,3,16,—,I86,Varicose veins of other sites,FALSE,FALSE,NA,NA,NA
Other disorders of veins (I87),no.,5,9,14,54,62,116,8.3000000000000007,I87,Other disorders of veins,FALSE,FALSE,8.285714285714286,10.8,6.888888888888889
Nonspecific lymphadenitis (I88),no.,0,0,0,0,1,1,—,I88,Nonspecific lymphadenitis,FALSE,FALSE,NA,NA,NA
Other noninfective disorders of lymphatic vessels and lymph nodes (I89),no.,3,12,15,63,136,199,13.3,I89,Other noninfective disorders of lymphatic vessels and lymph nodes,FALSE,FALSE,13.266666666666667,21,11.333333333333334
Other and unspecified disorders of the circulatory system (I95-I99),no.,12,11,23,483,433,916,39.799999999999997,I95-I99,Other and unspecified disorders of the circulatory system,FALSE,FALSE,39.82608695652174,40.25,39.36363636363637
Hypotension (I95),no.,4,4,8,198,183,381,47.6,I95,Hypotension,FALSE,FALSE,47.625,49.5,45.75
"Postprocedural disorders of circulatory system, not elsewhere classified (I97)",no.,0,0,0,3,1,4,—,I97,"Postprocedural disorders of circulatory system, not elsewhere classified",FALSE,FALSE,NA,NA,NA
Other and unspecified disorders of circulatory system (I99),no.,8,7,15,282,249,531,35.4,I99,Other and unspecified disorders of circulatory system,FALSE,FALSE,35.4,35.25,35.57142857142857
CHAPTER X Diseases of the respiratory system (J00-J99),no.,8690,8398,17088,39405,33360,72765,4.3,J00-J99,CHAPTER X Diseases of the respiratory system,TRUE,FALSE,4.258251404494382,4.53452243958573,3.972374374851155
Acute upper respiratory infections (J00-J06),no.,2,2,4,31,36,67,16.8,J00-J06,Acute upper respiratory infections,FALSE,FALSE,16.75,15.5,18
Acute nasopharyngitis [common cold] (J00),no.,0,1,1,2,3,5,5,J00,Acute nasopharyngitis [common cold],FALSE,FALSE,5,NA,3
Acute sinusitis (J01),no.,0,0,0,1,0,1,—,J01,Acute sinusitis,FALSE,FALSE,NA,NA,NA
Acute pharyngitis (J02),no.,0,0,0,1,1,2,—,J02,Acute pharyngitis,FALSE,FALSE,NA,NA,NA
Acute tonsillitis (J03),no.,1,0,1,2,0,2,2,J03,Acute tonsillitis,FALSE,FALSE,2,2,NA
Acute laryngitis and tracheitis (J04),no.,0,0,0,2,1,3,—,J04,Acute laryngitis and tracheitis,FALSE,FALSE,NA,NA,NA
Acute obstructive laryngitis [croup] and epiglottitis (J05),no.,0,0,0,1,0,1,—,J05,Acute obstructive laryngitis [croup] and epiglottitis,FALSE,FALSE,NA,NA,NA
