cause_icd10,unit,mc_count_male,mc_count_female,mc_count_persons,mc_asr_male,mc_asr_female,mc_asr_persons,icd10_code,cause_name,is_chapter,is_total
"CHAPTER IV Endocrine, nutritional and metabolic diseases (E00-E90)",no.,17695,15006,32701,106.5,71.9,88.1,E00-E90,"CHAPTER IV Endocrine, nutritional and metabolic diseases",TRUE,FALSE
Disorders of thyroid gland (E00-E07),no.,492,1388,1880,2.9,6.3,4.9,E00-E07,Disorders of thyroid gland,FALSE,FALSE
Congenital iodine-deficiency syndrome (E00),no.,0,0,0,NA,NA,NA,E00,Congenital iodine-deficiency syndrome,FALSE,FALSE
Iodine-deficiency-related thyroid disorders and allied conditions (E01),no.,0,0,0,NA,NA,NA,E01,Iodine-deficiency-related thyroid disorders and allied conditions,FALSE,FALSE
Subclinical iodine-deficiency hypothyroidism (E02),no.,0,1,1,NA,NA,NA,E02,Subclinical iodine-deficiency hypothyroidism,FALSE,FALSE
Other hypothyroidism (E03),no.,374,1047,1421,2.2,4.7,3.6,E03,Other hypothyroidism,FALSE,FALSE
Other nontoxic goitre (E04),no.,16,53,69,NA,0.2,0.2,E04,Other nontoxic goitre,FALSE,FALSE
Thyrotoxicosis [hyperthyroidism] (E05),no.,87,209,296,0.5,1,0.8,E05,Thyrotoxicosis [hyperthyroidism],FALSE,FALSE
Thyroiditis (E06),no.,7,38,45,NA,0.2,0.1,E06,Thyroiditis,FALSE,FALSE
Other disorders of thyroid (E07),no.,12,53,65,NA,0.2,0.2,E07,Other disorders of thyroid,FALSE,FALSE
Diabetes mellitus (E10-E14),no.,11985,8863,20848,71.7,42.3,55.9,E10-E14,Diabetes mellitus,FALSE,FALSE
Insulin-dependent diabetes mellitus (E10),no.,512,385,897,3.3,2.1,2.7,E10,Insulin-dependent diabetes mellitus,FALSE,FALSE
Non-insulin-dependent diabetes mellitus (E11),no.,7567,5605,13172,45,26.6,35.1,E11,Non-insulin-dependent diabetes mellitus,FALSE,FALSE
Malnutrition-related diabetes mellitus (E12),no.,1,0,1,NA,NA,NA,E12,Malnutrition-related diabetes mellitus,FALSE,FALSE
Other specified diabetes mellitus (E13),no.,16,11,27,NA,NA,0.1,E13,Other specified diabetes mellitus,FALSE,FALSE
Unspecified diabetes mellitus (E14),no.,4040,2952,6992,24.2,14,18.7,E14,Unspecified diabetes mellitus,FALSE,FALSE
Other disorders of glucose regulation and pancreatic internal secretion (E15-E16),no.,70,62,132,0.4,0.3,0.4,E15-E16,Other disorders of glucose regulation and pancreatic internal secretion,FALSE,FALSE
Nondiabetic hypoglycaemic coma (E15),no.,2,1,3,NA,NA,NA,E15,Nondiabetic hypoglycaemic coma,FALSE,FALSE
Other disorders of pancreatic internal secretion (E16),no.,68,62,130,0.4,0.3,0.4,E16,Other disorders of pancreatic internal secretion,FALSE,FALSE
Disorders of other endocrine glands (E20-E35),no.,225,281,506,1.4,1.4,1.4,E20-E35,Disorders of other endocrine glands,FALSE,FALSE
Hypoparathyroidism (E20),no.,2,8,10,NA,NA,NA,E20,Hypoparathyroidism,FALSE,FALSE
Hyperparathyroidism and other disorders of parathyroid gland (E21),no.,47,88,135,0.3,0.4,0.3,E21,Hyperparathyroidism and other disorders of parathyroid gland,FALSE,FALSE
Hyperfunction of pituitary gland (E22),no.,27,33,60,0.2,0.2,0.2,E22,Hyperfunction of pituitary gland,FALSE,FALSE
Hypofunction and other disorders of pituitary gland (E23),no.,49,32,81,0.3,0.2,0.2,E23,Hypofunction and other disorders of pituitary gland,FALSE,FALSE
Cushing syndrome (E24),no.,4,14,18,NA,NA,NA,E24,Cushing syndrome,FALSE,FALSE
Adrenogenital disorders (E25),no.,1,4,5,NA,NA,NA,E25,Adrenogenital disorders,FALSE,FALSE
Hyperaldosteronism (E26),no.,9,4,13,NA,NA,NA,E26,Hyperaldosteronism,FALSE,FALSE
Other disorders of adrenal gland (E27),no.,75,84,159,0.5,0.4,0.4,E27,Other disorders of adrenal gland,FALSE,FALSE
Ovarian dysfunction (E28),no.,0,14,14,NA,NA,NA,E28,Ovarian dysfunction,FALSE,FALSE
Testicular dysfunction (E29),no.,5,0,5,NA,NA,NA,E29,Testicular dysfunction,FALSE,FALSE
"Disorders of puberty, not elsewhere classified (E30)",no.,0,0,0,NA,NA,NA,E30,"Disorders of puberty, not elsewhere classified",FALSE,FALSE
Polyglandular dysfunction (E31),no.,0,2,2,NA,NA,NA,E31,Polyglandular dysfunction,FALSE,FALSE
Diseases of thymus (E32),no.,0,1,1,NA,NA,NA,E32,Diseases of thymus,FALSE,FALSE
Other endocrine disorders (E34),no.,10,6,16,NA,NA,NA,E34,Other endocrine disorders,FALSE,FALSE
Malnutrition (E40-E46),no.,482,510,992,2.9,2.5,2.7,E40-E46,Malnutrition,FALSE,FALSE
Kwashiorkor (E40),no.,0,0,0,NA,NA,NA,E40,Kwashiorkor,FALSE,FALSE
Nutritional marasmus (E41),no.,3,8,11,NA,NA,NA,E41,Nutritional marasmus,FALSE,FALSE
Marasmic kwashiorkor (E42),no.,0,0,0,NA,NA,NA,E42,Marasmic kwashiorkor,FALSE,FALSE
Unspecified severe protein-energy malnutrition (E43),no.,48,44,92,0.3,0.2,0.3,E43,Unspecified severe protein-energy malnutrition,FALSE,FALSE
Protein-energy malnutrition of moderate and mild degree (E44),no.,0,0,0,NA,NA,NA,E44,Protein-energy malnutrition of moderate and mild degree,FALSE,FALSE
Retarded development following protein-energy malnutrition (E45),no.,0,0,0,NA,NA,NA,E45,Retarded development following protein-energy malnutrition,FALSE,FALSE
Unspecified protein-energy malnutrition (E46),no.,431,461,892,2.6,2.2,2.4,E46,Unspecified protein-energy malnutrition,FALSE,FALSE
Other nutritional deficiencies (E50-E64),no.,129,145,274,0.8,0.7,0.7,E50-E64,Other nutritional deficiencies,FALSE,FALSE
Vitamin A deficiency (E50),no.,0,0,0,NA,NA,NA,E50,Vitamin A deficiency,FALSE,FALSE
Thiamine deficiency (E51),no.,32,11,43,0.2,NA,0.1,E51,Thiamine deficiency,FALSE,FALSE
Niacin deficiency [pellagra] (E52),no.,0,0,0,NA,NA,NA,E52,Niacin deficiency [pellagra],FALSE,FALSE
Deficiency of other B group vitamins (E53),no.,26,32,58,0.2,0.1,0.2,E53,Deficiency of other B group vitamins,FALSE,FALSE
Ascorbic acid deficiency (E54),no.,2,0,2,NA,NA,NA,E54,Ascorbic acid deficiency,FALSE,FALSE
Vitamin D deficiency (E55),no.,23,21,44,0.1,0.1,0.1,E55,Vitamin D deficiency,FALSE,FALSE
Other vitamin deficiencies (E56),no.,2,0,2,NA,NA,NA,E56,Other vitamin deficiencies,FALSE,FALSE
Dietary calcium deficiency (E58),no.,0,0,0,NA,NA,NA,E58,Dietary calcium deficiency,FALSE,FALSE
Dietary selenium deficiency (E59),no.,0,0,0,NA,NA,NA,E59,Dietary selenium deficiency,FALSE,FALSE
Dietary zinc deficiency (E60),no.,0,0,0,NA,NA,NA,E60,Dietary zinc deficiency,FALSE,FALSE
Deficiency of other nutrient elements (E61),no.,41,77,118,0.2,0.3,0.3,E61,Deficiency of other nutrient elements,FALSE,FALSE
Other nutritional deficiencies (E63),no.,5,9,14,NA,NA,NA,E63,Other nutritional deficiencies,FALSE,FALSE
Sequelae of malnutrition and other nutritional deficiencies (E64),no.,3,2,5,NA,NA,NA,E64,Sequelae of malnutrition and other nutritional deficiencies,FALSE,FALSE
Obesity and other hyperalimentation (E65-E68),no.,1345,1084,2429,8.9,6.5,7.7,E65-E68,Obesity and other hyperalimentation,FALSE,FALSE
Localized adiposity (E65),no.,0,0,0,NA,NA,NA,E65,Localized adiposity,FALSE,FALSE
Obesity (E66),no.,1344,1084,2428,8.9,6.5,7.7,E66,Obesity,FALSE,FALSE
Other hyperalimentation (E67),no.,1,0,1,NA,NA,NA,E67,Other hyperalimentation,FALSE,FALSE
Sequelae of hyperalimentation (E68),no.,0,0,0,NA,NA,NA,E68,Sequelae of hyperalimentation,FALSE,FALSE
Metabolic disorders (E70-E90),no.,5531,4911,10442,33.2,23.1,27.9,E70-E90,Metabolic disorders,FALSE,FALSE
Disorders of aromatic amino-acid metabolism (E70),no.,0,2,2,NA,NA,NA,E70,Disorders of aromatic amino-acid metabolism,FALSE,FALSE
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism (E71),no.,4,7,11,NA,NA,NA,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,FALSE,FALSE
Other disorders of amino-acid metabolism (E72),no.,7,8,15,NA,NA,NA,E72,Other disorders of amino-acid metabolism,FALSE,FALSE
Lactose intolerance (E73),no.,0,0,0,NA,NA,NA,E73,Lactose intolerance,FALSE,FALSE
Other disorders of carbohydrate metabolism (E74),no.,1,2,3,NA,NA,NA,E74,Other disorders of carbohydrate metabolism,FALSE,FALSE
Disorders of sphingolipid metabolism and other lipid storage disorders (E75),no.,15,9,24,NA,NA,0.1,E75,Disorders of sphingolipid metabolism and other lipid storage disorders,FALSE,FALSE
Disorders of glycosaminoglycan metabolism (E76),no.,2,2,4,NA,NA,NA,E76,Disorders of glycosaminoglycan metabolism,FALSE,FALSE
Disorders of glycoprotein metabolism (E77),no.,2,4,6,NA,NA,NA,E77,Disorders of glycoprotein metabolism,FALSE,FALSE
Disorders of lipoprotein metabolism and other lipidaemias (E78),no.,3296,2639,5935,19.7,12.3,15.8,E78,Disorders of lipoprotein metabolism and other lipidaemias,FALSE,FALSE
Disorders of purine and pyrimidine metabolism (E79),no.,4,4,8,NA,NA,NA,E79,Disorders of purine and pyrimidine metabolism,FALSE,FALSE
Disorders of porphyrin and bilirubin metabolism (E80),no.,8,3,11,NA,NA,NA,E80,Disorders of porphyrin and bilirubin metabolism,FALSE,FALSE
Disorders of mineral metabolism (E83),no.,364,332,696,2.2,1.6,1.9,E83,Disorders of mineral metabolism,FALSE,FALSE
Cystic fibrosis (E84),no.,10,11,21,NA,NA,0.1,E84,Cystic fibrosis,FALSE,FALSE
Amyloidosis (E85),no.,463,264,727,2.7,1.3,1.9,E85,Amyloidosis,FALSE,FALSE
Volume depletion (E86),no.,246,472,718,1.5,2.1,1.8,E86,Volume depletion,FALSE,FALSE
"Other disorders of fluid, electrolyte and acid-base balance (E87)",no.,1070,1161,2231,6.4,5.5,5.9,E87,"Other disorders of fluid, electrolyte and acid-base balance",FALSE,FALSE
Other metabolic disorders (E88),no.,210,197,407,1.3,1,1.2,E88,Other metabolic disorders,FALSE,FALSE
"Postprocedural endocrine and metabolic disorders, not elsewhere classified (E89)",no.,4,5,9,NA,NA,NA,E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",FALSE,FALSE
CHAPTER V Mental and behavioural disorders (F00-F99),no.,18796,18736,37532,117.1,86.5,101.7,F00-F99,CHAPTER V Mental and behavioural disorders,TRUE,FALSE
"Organic, including symptomatic, mental disorders (F00-F09)",no.,11239,14752,25991,65.9,63,64.6,F00-F09,"Organic, including symptomatic, mental disorders",FALSE,FALSE
Vascular dementia (F01),no.,2295,2346,4641,13.4,10.1,11.6,F01,Vascular dementia,FALSE,FALSE
Unspecified dementia (F03),no.,8052,11714,19766,47.2,49.9,49,F03,Unspecified dementia,FALSE,FALSE
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",no.,8,0,8,NA,NA,NA,F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",FALSE,FALSE
"Delirium, not induced by alcohol and other psychoactive substances (F05)",no.,1248,1200,2448,7.3,5.2,6.1,F05,"Delirium, not induced by alcohol and other psychoactive substances",FALSE,FALSE
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),no.,35,37,72,0.2,0.2,0.2,F06,Other mental disorders due to brain damage and dysfunction and to physical disease,FALSE,FALSE
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",no.,6,3,9,NA,NA,NA,F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",FALSE,FALSE
Unspecified organic or symptomatic mental disorder (F09),no.,10,15,25,NA,NA,0.1,F09,Unspecified organic or symptomatic mental disorder,FALSE,FALSE
Mental and behavioural disorders due to psychoactive substance use (F10-F19),no.,5697,2135,7832,38.9,13.4,25.8,F10-F19,Mental and behavioural disorders due to psychoactive substance use,FALSE,FALSE
Mental and behavioural disorders due to use of alcohol (F10),no.,2882,842,3724,19.8,5.5,12.5,F10,Mental and behavioural disorders due to use of alcohol,FALSE,FALSE
Mental and behavioural disorders due to use of opioids (F11),no.,380,130,510,2.8,0.9,1.9,F11,Mental and behavioural disorders due to use of opioids,FALSE,FALSE
Mental and behavioural disorders due to use of cannabinoids (F12),no.,490,118,608,3.7,0.9,2.3,F12,Mental and behavioural disorders due to use of cannabinoids,FALSE,FALSE
Mental and behavioural disorders due to use of sedatives or hypnotics (F13),no.,100,40,140,0.7,0.3,0.5,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,FALSE,FALSE
Mental and behavioural disorders due to use of cocaine (F14),no.,89,13,102,0.7,NA,0.4,F14,Mental and behavioural disorders due to use of cocaine,FALSE,FALSE
"Mental and behavioural disorders due to use of other stimulants, including caffeine (F15)",no.,798,204,1002,6.1,1.5,3.8,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",FALSE,FALSE
Mental and behavioural disorders due to use of hallucinogens (F16),no.,21,1,22,0.2,NA,0.1,F16,Mental and behavioural disorders due to use of hallucinogens,FALSE,FALSE
Mental and behavioural disorders due to use of tobacco (F17),no.,2136,1086,3222,13.5,6.2,9.7,F17,Mental and behavioural disorders due to use of tobacco,FALSE,FALSE
Mental and behavioural disorders due to use of volatile solvents (F18),no.,18,5,23,NA,NA,0.1,F18,Mental and behavioural disorders due to use of volatile solvents,FALSE,FALSE
Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances (F19),no.,508,173,681,3.8,1.3,2.5,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,FALSE,FALSE
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",no.,877,577,1454,6,3.2,4.6,F20-F29,"Schizophrenia, schizotypal and delusional disorders",FALSE,FALSE
Schizophrenia (F20),no.,691,432,1123,4.7,2.4,3.6,F20,Schizophrenia,FALSE,FALSE
Schizotypal disorder (F21),no.,1,0,1,NA,NA,NA,F21,Schizotypal disorder,FALSE,FALSE
Persistent delusional disorders (F22),no.,72,28,100,0.5,0.1,0.3,F22,Persistent delusional disorders,FALSE,FALSE
Acute and transient psychotic disorders (F23),no.,1,1,2,NA,NA,NA,F23,Acute and transient psychotic disorders,FALSE,FALSE
Induced delusional disorder (F24),no.,0,0,0,NA,NA,NA,F24,Induced delusional disorder,FALSE,FALSE
Schizoaffective disorders (F25),no.,80,82,162,0.5,0.5,0.5,F25,Schizoaffective disorders,FALSE,FALSE
Other nonorganic psychotic disorders (F28),no.,0,0,0,NA,NA,NA,F28,Other nonorganic psychotic disorders,FALSE,FALSE
Unspecified nonorganic psychosis (F29),no.,53,37,90,0.4,0.2,0.3,F29,Unspecified nonorganic psychosis,FALSE,FALSE
Mood [affective] disorders (F30-F39),no.,2161,1999,4160,14.6,10.7,12.7,F30-F39,Mood [affective] disorders,FALSE,FALSE
Manic episode (F30),no.,2,1,3,NA,NA,NA,F30,Manic episode,FALSE,FALSE
Bipolar affective disorder (F31),no.,275,268,543,1.9,1.6,1.7,F31,Bipolar affective disorder,FALSE,FALSE
Depressive episode (F32),no.,1948,1775,3723,13.1,9.4,11.4,F32,Depressive episode,FALSE,FALSE
Recurrent depressive disorder (F33),no.,0,3,3,NA,NA,NA,F33,Recurrent depressive disorder,FALSE,FALSE
Persistent mood [affective] disorders (F34),no.,4,0,4,NA,NA,NA,F34,Persistent mood [affective] disorders,FALSE,FALSE
Other mood [affective] disorders (F38),no.,0,3,3,NA,NA,NA,F38,Other mood [affective] disorders,FALSE,FALSE
Unspecified mood [affective] disorder (F39),no.,12,15,27,NA,NA,0.1,F39,Unspecified mood [affective] disorder,FALSE,FALSE
"Neurotic, stress-related and somatoform disorders (F40-F48)",no.,1020,1037,2057,7.1,5.9,6.5,F40-F48,"Neurotic, stress-related and somatoform disorders",FALSE,FALSE
Phobic anxiety disorders (F40),no.,29,12,41,0.2,NA,0.1,F40,Phobic anxiety disorders,FALSE,FALSE
Other anxiety disorders (F41),no.,794,910,1704,5.5,5,5.4,F41,Other anxiety disorders,FALSE,FALSE
Obsessive-compulsive disorder (F42),no.,27,25,52,0.2,0.2,0.2,F42,Obsessive-compulsive disorder,FALSE,FALSE
"Reaction to severe stress, and adjustment disorders (F43)",no.,280,189,469,1.9,1.3,1.6,F43,"Reaction to severe stress, and adjustment disorders",FALSE,FALSE
Dissociative [conversion] disorders (F44),no.,1,7,8,NA,NA,NA,F44,Dissociative [conversion] disorders,FALSE,FALSE
Somatoform disorders (F45),no.,3,5,8,NA,NA,NA,F45,Somatoform disorders,FALSE,FALSE
Other neurotic disorders (F48),no.,0,1,1,NA,NA,NA,F48,Other neurotic disorders,FALSE,FALSE
Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59),no.,58,79,137,0.4,0.6,0.5,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,FALSE,FALSE
Eating disorders (F50),no.,12,59,71,NA,0.4,0.3,F50,Eating disorders,FALSE,FALSE
Nonorganic sleep disorders (F51),no.,25,9,34,0.2,NA,0.1,F51,Nonorganic sleep disorders,FALSE,FALSE
"Sexual dysfunction, not caused by organic disorder or disease (F52)",no.,3,0,3,NA,NA,NA,F52,"Sexual dysfunction, not caused by organic disorder or disease",FALSE,FALSE
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified (F53)",no.,0,6,6,NA,NA,NA,F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",FALSE,FALSE
Psychological and behavioural factors associated with disorders or diseases classified elsewhere (F54),no.,0,0,0,NA,NA,NA,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,FALSE,FALSE
Abuse of non-dependence-producing substances (F55),no.,17,5,22,NA,NA,0.1,F55,Abuse of non-dependence-producing substances,FALSE,FALSE
Unspecified behavioural syndromes associated with physiological disturbances and physical factors (F59),no.,1,0,1,NA,NA,NA,F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,FALSE,FALSE
Disorders of adult personality and behaviour (F60-F69),no.,86,106,192,0.6,0.8,0.7,F60-F69,Disorders of adult personality and behaviour,FALSE,FALSE
Specific personality disorders (F60),no.,74,97,171,0.5,0.7,0.6,F60,Specific personality disorders,FALSE,FALSE
Mixed and other personality disorders (F61),no.,1,1,2,NA,NA,NA,F61,Mixed and other personality disorders,FALSE,FALSE
"Enduring personality changes, not attributable to brain damage and disease (F62)",no.,0,1,1,NA,NA,NA,F62,"Enduring personality changes, not attributable to brain damage and disease",FALSE,FALSE
Habit and impulse disorders (F63),no.,6,3,9,NA,NA,NA,F63,Habit and impulse disorders,FALSE,FALSE
Gender identity disorders (F64),no.,2,3,5,NA,NA,NA,F64,Gender identity disorders,FALSE,FALSE
Disorders of sexual preference (F65),no.,1,0,1,NA,NA,NA,F65,Disorders of sexual preference,FALSE,FALSE
Psychological and behavioural disorders associated with sexual development and orientation (F66),no.,2,2,4,NA,NA,NA,F66,Psychological and behavioural disorders associated with sexual development and orientation,FALSE,FALSE
Other disorders of adult personality and behaviour (F68),no.,0,1,1,NA,NA,NA,F68,Other disorders of adult personality and behaviour,FALSE,FALSE
Unspecified disorder of adult personality and behaviour (F69),no.,0,0,0,NA,NA,NA,F69,Unspecified disorder of adult personality and behaviour,FALSE,FALSE
Mental retardation (F70-F79),no.,149,152,301,1,0.9,0.9,F70-F79,Mental retardation,FALSE,FALSE
Mild mental retardation (F70),no.,0,1,1,NA,NA,NA,F70,Mild mental retardation,FALSE,FALSE
Moderate mental retardation (F71),no.,0,0,0,NA,NA,NA,F71,Moderate mental retardation,FALSE,FALSE
Severe mental retardation (F72),no.,1,0,1,NA,NA,NA,F72,Severe mental retardation,FALSE,FALSE
Profound mental retardation (F73),no.,0,0,0,NA,NA,NA,F73,Profound mental retardation,FALSE,FALSE
Other mental retardation (F78),no.,1,0,1,NA,NA,NA,F78,Other mental retardation,FALSE,FALSE
Unspecified mental retardation (F79),no.,147,151,298,0.9,0.9,0.9,F79,Unspecified mental retardation,FALSE,FALSE
Disorders of psychological development (F80-F89),no.,115,43,158,0.8,0.3,0.6,F80-F89,Disorders of psychological development,FALSE,FALSE
Specific developmental disorders of speech and language (F80),no.,3,0,3,NA,NA,NA,F80,Specific developmental disorders of speech and language,FALSE,FALSE
Specific developmental disorders of scholastic skills (F81),no.,3,0,3,NA,NA,NA,F81,Specific developmental disorders of scholastic skills,FALSE,FALSE
Specific developmental disorder of motor function (F82),no.,1,0,1,NA,NA,NA,F82,Specific developmental disorder of motor function,FALSE,FALSE
Mixed specific developmental disorders (F83),no.,0,0,0,NA,NA,NA,F83,Mixed specific developmental disorders,FALSE,FALSE
Pervasive developmental disorders (F84),no.,95,38,133,0.7,0.3,0.5,F84,Pervasive developmental disorders,FALSE,FALSE
Other disorders of psychological development (F88),no.,4,1,5,NA,NA,NA,F88,Other disorders of psychological development,FALSE,FALSE
Unspecified disorder of psychological development (F89),no.,12,4,16,NA,NA,NA,F89,Unspecified disorder of psychological development,FALSE,FALSE
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90-F98),no.,181,52,233,1.4,0.4,0.9,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,FALSE,FALSE
Hyperkinetic disorders (F90),no.,173,49,222,1.3,0.4,0.8,F90,Hyperkinetic disorders,FALSE,FALSE
Conduct disorders (F91),no.,7,1,8,NA,NA,NA,F91,Conduct disorders,FALSE,FALSE
Mixed disorders of conduct and emotions (F92),no.,0,0,0,NA,NA,NA,F92,Mixed disorders of conduct and emotions,FALSE,FALSE
Emotional disorders with onset specific to childhood (F93),no.,0,0,0,NA,NA,NA,F93,Emotional disorders with onset specific to childhood,FALSE,FALSE
Disorders of social functioning with onset specific to childhood and adolescence (F94),no.,0,1,1,NA,NA,NA,F94,Disorders of social functioning with onset specific to childhood and adolescence,FALSE,FALSE
Tic disorders (F95),no.,5,0,5,NA,NA,NA,F95,Tic disorders,FALSE,FALSE
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F98),no.,3,1,4,NA,NA,NA,F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,FALSE,FALSE
Unspecified mental disorder (F99-F99),no.,218,77,295,1.7,0.6,1.1,F99-F99,Unspecified mental disorder,FALSE,FALSE
"Mental disorder, not otherwise specified (F99)",no.,218,77,295,1.7,0.6,1.1,F99,"Mental disorder, not otherwise specified",FALSE,FALSE
CHAPTER VI Diseases of the nervous system (G00-G99),no.,12696,12191,24887,76.6,57.9,66.7,G00-G99,CHAPTER VI Diseases of the nervous system,TRUE,FALSE
Inflammatory diseases of the central nervous system (G00-G09),no.,226,142,368,1.4,0.8,1.1,G00-G09,Inflammatory diseases of the central nervous system,FALSE,FALSE
"Bacterial meningitis, not elsewhere classified (G00)",no.,20,11,31,0.1,NA,0.1,G00,"Bacterial meningitis, not elsewhere classified",FALSE,FALSE
Meningitis due to other and unspecified causes (G03),no.,20,13,33,0.1,NA,0.1,G03,Meningitis due to other and unspecified causes,FALSE,FALSE
"Encephalitis, myelitis and encephalomyelitis (G04)",no.,107,63,170,0.7,0.3,0.5,G04,"Encephalitis, myelitis and encephalomyelitis",FALSE,FALSE
Intracranial and intraspinal abscess and granuloma (G06),no.,56,33,89,0.3,0.2,0.3,G06,Intracranial and intraspinal abscess and granuloma,FALSE,FALSE
Intracranial and intraspinal phlebitis and thrombophlebitis (G08),no.,9,13,22,NA,NA,0.1,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,FALSE,FALSE
Sequelae of inflammatory diseases of central nervous system (G09),no.,22,12,34,0.1,NA,0.1,G09,Sequelae of inflammatory diseases of central nervous system,FALSE,FALSE
Systemic atrophies primarily affecting the central nervous system (G10-G14),no.,630,488,1118,3.8,2.6,3.2,G10-G14,Systemic atrophies primarily affecting the central nervous system,FALSE,FALSE
Huntington disease (G10),no.,53,64,117,0.3,0.4,0.4,G10,Huntington disease,FALSE,FALSE
Hereditary ataxia (G11),no.,59,35,94,0.4,0.2,0.3,G11,Hereditary ataxia,FALSE,FALSE
Spinal muscular atrophy and related syndromes (G12),no.,506,375,881,3.1,2,2.5,G12,Spinal muscular atrophy and related syndromes,FALSE,FALSE
Postpolio syndrome (G14),no.,12,14,26,NA,NA,0.1,G14,Postpolio syndrome,FALSE,FALSE
Extrapyramidal and movement disorders (G20-G26),no.,3360,1887,5247,19.7,8.8,13.7,G20-G26,Extrapyramidal and movement disorders,FALSE,FALSE
Parkinson disease (G20),no.,3032,1631,4663,17.8,7.5,12.1,G20,Parkinson disease,FALSE,FALSE
Secondary parkinsonism (G21),no.,32,18,50,0.2,NA,0.1,G21,Secondary parkinsonism,FALSE,FALSE
Other degenerative diseases of basal ganglia (G23),no.,311,236,547,1.8,1.2,1.5,G23,Other degenerative diseases of basal ganglia,FALSE,FALSE
Dystonia (G24),no.,13,12,25,NA,NA,0.1,G24,Dystonia,FALSE,FALSE
Other extrapyramidal and movement disorders (G25),no.,22,29,51,0.1,0.1,0.1,G25,Other extrapyramidal and movement disorders,FALSE,FALSE
Other degenerative diseases of the nervous system (G30-G32),no.,4517,6548,11065,26.5,28.9,28,G30-G32,Other degenerative diseases of the nervous system,FALSE,FALSE
Alzheimer's disease (G30),no.,3642,5865,9507,21.4,25.6,23.8,G30,Alzheimer's disease,FALSE,FALSE
"Other degenerative diseases of nervous system, not elsewhere classified (G31)",no.,917,716,1633,5.4,3.4,4.3,G31,"Other degenerative diseases of nervous system, not elsewhere classified",FALSE,FALSE
Demyelinating diseases of the central nervous system (G35-G37),no.,128,246,374,0.8,1.3,1.1,G35-G37,Demyelinating diseases of the central nervous system,FALSE,FALSE
Multiple sclerosis (G35),no.,118,230,348,0.7,1.3,1,G35,Multiple sclerosis,FALSE,FALSE
Other acute disseminated demyelination (G36),no.,1,5,6,NA,NA,NA,G36,Other acute disseminated demyelination,FALSE,FALSE
Other demyelinating diseases of central nervous system (G37),no.,10,13,23,NA,NA,0.1,G37,Other demyelinating diseases of central nervous system,FALSE,FALSE
Episodic and paroxysmal disorders (G40-G47),no.,2524,2021,4545,15.7,10.3,12.9,G40-G47,Episodic and paroxysmal disorders,FALSE,FALSE
Epilepsy (G40),no.,691,590,1281,4.5,3.2,3.8,G40,Epilepsy,FALSE,FALSE
Status epilepticus (G41),no.,86,97,183,0.5,0.5,0.5,G41,Status epilepticus,FALSE,FALSE
Migraine (G43),no.,19,52,71,NA,0.3,0.2,G43,Migraine,FALSE,FALSE
Other headache syndromes (G44),no.,0,0,0,NA,NA,NA,G44,Other headache syndromes,FALSE,FALSE
Transient cerebral ischaemic attacks and related syndromes (G45),no.,397,558,955,2.3,2.4,2.4,G45,Transient cerebral ischaemic attacks and related syndromes,FALSE,FALSE
Sleep disorders (G47),no.,1392,782,2174,8.6,4.2,6.2,G47,Sleep disorders,FALSE,FALSE
"Nerve, nerve root and plexus disorders (G50-G59)",no.,58,53,111,0.4,0.3,0.3,G50-G59,"Nerve, nerve root and plexus disorders",FALSE,FALSE
Disorders of trigeminal nerve (G50),no.,7,13,20,NA,NA,0.1,G50,Disorders of trigeminal nerve,FALSE,FALSE
Facial nerve disorders (G51),no.,16,14,30,NA,NA,0.1,G51,Facial nerve disorders,FALSE,FALSE
Disorders of other cranial nerves (G52),no.,3,6,9,NA,NA,NA,G52,Disorders of other cranial nerves,FALSE,FALSE
Nerve root and plexus disorders (G54),no.,9,5,14,NA,NA,NA,G54,Nerve root and plexus disorders,FALSE,FALSE
Mononeuropathies of upper limb (G56),no.,13,6,19,NA,NA,NA,G56,Mononeuropathies of upper limb,FALSE,FALSE
