cause_icd10,unit,reported_alone,with_1_other,with_2_other,with_3_other,with_4_other,with_5_plus,icd10_code,cause_name,is_chapter,is_total
Ascorbic acid deficiency (E54),no.,0,0,0,0,1,6,E54,Ascorbic acid deficiency,FALSE,FALSE
Vitamin D deficiency (E55),no.,0,0,0,0,0,NA,E55,Vitamin D deficiency,FALSE,FALSE
Other vitamin deficiencies (E56),no.,0,0,0,0,0,NA,E56,Other vitamin deficiencies,FALSE,FALSE
Dietary calcium deficiency (E58),no.,0,0,0,0,0,NA,E58,Dietary calcium deficiency,FALSE,FALSE
Dietary selenium deficiency (E59),no.,0,0,0,0,0,NA,E59,Dietary selenium deficiency,FALSE,FALSE
Dietary zinc deficiency (E60),no.,0,0,0,0,0,NA,E60,Dietary zinc deficiency,FALSE,FALSE
Deficiency of other nutrient elements (E61),no.,0,0,3,1,3,4.3,E61,Deficiency of other nutrient elements,FALSE,FALSE
Other nutritional deficiencies (E63),no.,0,0,0,0,2,7.5,E63,Other nutritional deficiencies,FALSE,FALSE
Sequelae of malnutrition and other nutritional deficiencies (E64),no.,0,0,0,0,0,NA,E64,Sequelae of malnutrition and other nutritional deficiencies,FALSE,FALSE
Obesity and other hyperalimentation (E65-E68),no.,22,57,100,81,201,4.5,E65-E68,Obesity and other hyperalimentation,FALSE,FALSE
Localized adiposity (E65),no.,0,0,0,0,0,NA,E65,Localized adiposity,FALSE,FALSE
Obesity (E66),no.,22,57,100,81,200,4.5,E66,Obesity,FALSE,FALSE
Other hyperalimentation (E67),no.,0,0,0,0,1,5,E67,Other hyperalimentation,FALSE,FALSE
Sequelae of hyperalimentation (E68),no.,0,0,0,0,0,NA,E68,Sequelae of hyperalimentation,FALSE,FALSE
Metabolic disorders (E70-E90),no.,52,248,375,342,673,4.3,E70-E90,Metabolic disorders,FALSE,FALSE
Disorders of aromatic amino-acid metabolism (E70),no.,0,0,0,0,0,NA,E70,Disorders of aromatic amino-acid metabolism,FALSE,FALSE
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism (E71),no.,1,3,0,1,2,3.3,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,FALSE,FALSE
Other disorders of amino-acid metabolism (E72),no.,2,1,3,0,2,3.4,E72,Other disorders of amino-acid metabolism,FALSE,FALSE
Lactose intolerance (E73),no.,0,0,0,0,0,NA,E73,Lactose intolerance,FALSE,FALSE
Other disorders of carbohydrate metabolism (E74),no.,0,1,0,0,0,2,E74,Other disorders of carbohydrate metabolism,FALSE,FALSE
Disorders of sphingolipid metabolism and other lipid storage disorders (E75),no.,4,4,5,3,0,2.4,E75,Disorders of sphingolipid metabolism and other lipid storage disorders,FALSE,FALSE
Disorders of glycosaminoglycan metabolism (E76),no.,2,0,0,0,0,1,E76,Disorders of glycosaminoglycan metabolism,FALSE,FALSE
Disorders of glycoprotein metabolism (E77),no.,0,0,0,2,1,5,E77,Disorders of glycoprotein metabolism,FALSE,FALSE
Disorders of lipoprotein metabolism and other lipidaemias (E78),no.,4,34,159,186,339,4.6,E78,Disorders of lipoprotein metabolism and other lipidaemias,FALSE,FALSE
Disorders of purine and pyrimidine metabolism (E79),no.,0,0,1,1,0,3.5,E79,Disorders of purine and pyrimidine metabolism,FALSE,FALSE
Disorders of porphyrin and bilirubin metabolism (E80),no.,0,0,0,0,2,5.5,E80,Disorders of porphyrin and bilirubin metabolism,FALSE,FALSE
Disorders of mineral metabolism (E83),no.,4,12,15,6,28,4.3,E83,Disorders of mineral metabolism,FALSE,FALSE
Cystic fibrosis (E84),no.,2,0,4,1,12,5.7,E84,Cystic fibrosis,FALSE,FALSE
Amyloidosis (E85),no.,27,116,94,67,125,3.7,E85,Amyloidosis,FALSE,FALSE
Volume depletion (E86),no.,0,12,28,15,29,4.2,E86,Volume depletion,FALSE,FALSE
"Other disorders of fluid, electrolyte and acid-base balance (E87)",no.,4,32,50,51,109,4.5,E87,"Other disorders of fluid, electrolyte and acid-base balance",FALSE,FALSE
Other metabolic disorders (E88),no.,2,33,16,9,24,3.8,E88,Other metabolic disorders,FALSE,FALSE
"Postprocedural endocrine and metabolic disorders, not elsewhere classified (E89)",no.,0,0,0,0,0,NA,E89,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",FALSE,FALSE
CHAPTER V Mental and behavioural disorders (F00-F99),no.,2307,3105,2610,1756,2559,3.2,F00-F99,CHAPTER V Mental and behavioural disorders,TRUE,FALSE
"Organic, including symptomatic, mental disorders (F00-F09)",no.,2215,2985,2470,1656,2297,3.1,F00-F09,"Organic, including symptomatic, mental disorders",FALSE,FALSE
Vascular dementia (F01),no.,207,380,450,402,653,3.8,F01,Vascular dementia,FALSE,FALSE
Unspecified dementia (F03),no.,1991,2560,2014,1253,1641,3,F03,Unspecified dementia,FALSE,FALSE
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances (F04)",no.,0,0,0,0,0,NA,F04,"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",FALSE,FALSE
"Delirium, not induced by alcohol and other psychoactive substances (F05)",no.,17,40,4,0,1,1.9,F05,"Delirium, not induced by alcohol and other psychoactive substances",FALSE,FALSE
Other mental disorders due to brain damage and dysfunction and to physical disease (F06),no.,0,4,2,1,2,3.8,F06,Other mental disorders due to brain damage and dysfunction and to physical disease,FALSE,FALSE
"Personality and behavioural disorders due to brain disease, damage and dysfunction (F07)",no.,0,1,0,0,0,2,F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",FALSE,FALSE
Unspecified organic or symptomatic mental disorder (F09),no.,0,0,0,0,0,NA,F09,Unspecified organic or symptomatic mental disorder,FALSE,FALSE
Mental and behavioural disorders due to psychoactive substance use (F10-F19),no.,87,92,92,71,161,3.8,F10-F19,Mental and behavioural disorders due to psychoactive substance use,FALSE,FALSE
Mental and behavioural disorders due to use of alcohol (F10),no.,86,87,81,63,133,3.6,F10,Mental and behavioural disorders due to use of alcohol,FALSE,FALSE
Mental and behavioural disorders due to use of opioids (F11),no.,0,0,0,0,5,6.2,F11,Mental and behavioural disorders due to use of opioids,FALSE,FALSE
Mental and behavioural disorders due to use of cannabinoids (F12),no.,0,0,0,0,0,NA,F12,Mental and behavioural disorders due to use of cannabinoids,FALSE,FALSE
Mental and behavioural disorders due to use of sedatives or hypnotics (F13),no.,0,0,0,1,1,7,F13,Mental and behavioural disorders due to use of sedatives or hypnotics,FALSE,FALSE
Mental and behavioural disorders due to use of cocaine (F14),no.,0,0,0,0,0,NA,F14,Mental and behavioural disorders due to use of cocaine,FALSE,FALSE
"Mental and behavioural disorders due to use of other stimulants, including caffeine (F15)",no.,0,2,2,3,9,6.2,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",FALSE,FALSE
Mental and behavioural disorders due to use of hallucinogens (F16),no.,0,0,0,0,0,NA,F16,Mental and behavioural disorders due to use of hallucinogens,FALSE,FALSE
Mental and behavioural disorders due to use of tobacco (F17),no.,0,2,2,0,3,3.9,F17,Mental and behavioural disorders due to use of tobacco,FALSE,FALSE
Mental and behavioural disorders due to use of volatile solvents (F18),no.,0,0,0,0,0,NA,F18,Mental and behavioural disorders due to use of volatile solvents,FALSE,FALSE
Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances (F19),no.,1,1,7,4,10,5.1,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,FALSE,FALSE
"Schizophrenia, schizotypal and delusional disorders (F20-F29)",no.,3,8,17,11,30,4.3,F20-F29,"Schizophrenia, schizotypal and delusional disorders",FALSE,FALSE
Schizophrenia (F20),no.,3,8,13,9,22,4,F20,Schizophrenia,FALSE,FALSE
Schizotypal disorder (F21),no.,0,0,0,0,0,NA,F21,Schizotypal disorder,FALSE,FALSE
Persistent delusional disorders (F22),no.,0,0,0,0,1,8,F22,Persistent delusional disorders,FALSE,FALSE
Acute and transient psychotic disorders (F23),no.,0,0,0,0,0,NA,F23,Acute and transient psychotic disorders,FALSE,FALSE
Induced delusional disorder (F24),no.,0,0,0,0,0,NA,F24,Induced delusional disorder,FALSE,FALSE
Schizoaffective disorders (F25),no.,0,0,4,2,5,5,F25,Schizoaffective disorders,FALSE,FALSE
Other nonorganic psychotic disorders (F28),no.,0,0,0,0,0,NA,F28,Other nonorganic psychotic disorders,FALSE,FALSE
Unspecified nonorganic psychosis (F29),no.,0,0,0,0,2,6.5,F29,Unspecified nonorganic psychosis,FALSE,FALSE
Mood [affective] disorders (F30-F39),no.,0,12,19,14,47,5.1,F30-F39,Mood [affective] disorders,FALSE,FALSE
Manic episode (F30),no.,0,0,0,0,1,5,F30,Manic episode,FALSE,FALSE
Bipolar affective disorder (F31),no.,0,3,7,3,7,4.4,F31,Bipolar affective disorder,FALSE,FALSE
Depressive episode (F32),no.,0,9,12,11,39,5.4,F32,Depressive episode,FALSE,FALSE
Recurrent depressive disorder (F33),no.,0,0,0,0,0,NA,F33,Recurrent depressive disorder,FALSE,FALSE
Persistent mood [affective] disorders (F34),no.,0,0,0,0,0,NA,F34,Persistent mood [affective] disorders,FALSE,FALSE
Other mood [affective] disorders (F38),no.,0,0,0,0,0,NA,F38,Other mood [affective] disorders,FALSE,FALSE
Unspecified mood [affective] disorder (F39),no.,0,0,0,0,0,NA,F39,Unspecified mood [affective] disorder,FALSE,FALSE
"Neurotic, stress-related and somatoform disorders (F40-F48)",no.,0,2,3,1,16,6.3,F40-F48,"Neurotic, stress-related and somatoform disorders",FALSE,FALSE
Phobic anxiety disorders (F40),no.,0,0,0,0,0,NA,F40,Phobic anxiety disorders,FALSE,FALSE
Other anxiety disorders (F41),no.,0,2,3,1,13,6.1,F41,Other anxiety disorders,FALSE,FALSE
Obsessive-compulsive disorder (F42),no.,0,0,0,0,0,NA,F42,Obsessive-compulsive disorder,FALSE,FALSE
"Reaction to severe stress, and adjustment disorders (F43)",no.,0,0,0,0,3,7.3,F43,"Reaction to severe stress, and adjustment disorders",FALSE,FALSE
Dissociative [conversion] disorders (F44),no.,0,0,0,0,0,NA,F44,Dissociative [conversion] disorders,FALSE,FALSE
Somatoform disorders (F45),no.,0,0,0,0,0,NA,F45,Somatoform disorders,FALSE,FALSE
Other neurotic disorders (F48),no.,0,0,0,0,0,NA,F48,Other neurotic disorders,FALSE,FALSE
Behavioural syndromes associated with physiological disturbances and physical factors (F50-F59),no.,2,1,5,1,6,3.7,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,FALSE,FALSE
Eating disorders (F50),no.,2,1,4,1,6,3.8,F50,Eating disorders,FALSE,FALSE
Nonorganic sleep disorders (F51),no.,0,0,0,0,0,NA,F51,Nonorganic sleep disorders,FALSE,FALSE
"Sexual dysfunction, not caused by organic disorder or disease (F52)",no.,0,0,0,0,0,NA,F52,"Sexual dysfunction, not caused by organic disorder or disease",FALSE,FALSE
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified (F53)",no.,0,0,0,0,0,NA,F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",FALSE,FALSE
Psychological and behavioural factors associated with disorders or diseases classified elsewhere (F54),no.,0,0,0,0,0,NA,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,FALSE,FALSE
Abuse of non-dependence-producing substances (F55),no.,0,0,1,0,0,3,F55,Abuse of non-dependence-producing substances,FALSE,FALSE
Unspecified behavioural syndromes associated with physiological disturbances and physical factors (F59),no.,0,0,0,0,0,NA,F59,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,FALSE,FALSE
Disorders of adult personality and behaviour (F60-F69),no.,0,0,1,0,0,3,F60-F69,Disorders of adult personality and behaviour,FALSE,FALSE
Specific personality disorders (F60),no.,0,0,1,0,0,3,F60,Specific personality disorders,FALSE,FALSE
Mixed and other personality disorders (F61),no.,0,0,0,0,0,NA,F61,Mixed and other personality disorders,FALSE,FALSE
"Enduring personality changes, not attributable to brain damage and disease (F62)",no.,0,0,0,0,0,NA,F62,"Enduring personality changes, not attributable to brain damage and disease",FALSE,FALSE
Habit and impulse disorders (F63),no.,0,0,0,0,0,NA,F63,Habit and impulse disorders,FALSE,FALSE
Gender identity disorders (F64),no.,0,0,0,0,0,NA,F64,Gender identity disorders,FALSE,FALSE
Disorders of sexual preference (F65),no.,0,0,0,0,0,NA,F65,Disorders of sexual preference,FALSE,FALSE
Psychological and behavioural disorders associated with sexual development and orientation (F66),no.,0,0,0,0,0,NA,F66,Psychological and behavioural disorders associated with sexual development and orientation,FALSE,FALSE
Other disorders of adult personality and behaviour (F68),no.,0,0,0,0,0,NA,F68,Other disorders of adult personality and behaviour,FALSE,FALSE
Unspecified disorder of adult personality and behaviour (F69),no.,0,0,0,0,0,NA,F69,Unspecified disorder of adult personality and behaviour,FALSE,FALSE
Mental retardation (F70-F79),no.,0,2,3,2,2,4.1,F70-F79,Mental retardation,FALSE,FALSE
Mild mental retardation (F70),no.,0,0,0,0,0,NA,F70,Mild mental retardation,FALSE,FALSE
Moderate mental retardation (F71),no.,0,0,0,0,0,NA,F71,Moderate mental retardation,FALSE,FALSE
Severe mental retardation (F72),no.,0,0,0,0,0,NA,F72,Severe mental retardation,FALSE,FALSE
Profound mental retardation (F73),no.,0,0,0,0,0,NA,F73,Profound mental retardation,FALSE,FALSE
Other mental retardation (F78),no.,0,0,0,0,0,NA,F78,Other mental retardation,FALSE,FALSE
Unspecified mental retardation (F79),no.,0,2,3,2,2,4.1,F79,Unspecified mental retardation,FALSE,FALSE
Disorders of psychological development (F80-F89),no.,0,3,0,0,0,2,F80-F89,Disorders of psychological development,FALSE,FALSE
Specific developmental disorders of speech and language (F80),no.,0,0,0,0,0,NA,F80,Specific developmental disorders of speech and language,FALSE,FALSE
Specific developmental disorders of scholastic skills (F81),no.,0,0,0,0,0,NA,F81,Specific developmental disorders of scholastic skills,FALSE,FALSE
Specific developmental disorder of motor function (F82),no.,0,0,0,0,0,NA,F82,Specific developmental disorder of motor function,FALSE,FALSE
Mixed specific developmental disorders (F83),no.,0,0,0,0,0,NA,F83,Mixed specific developmental disorders,FALSE,FALSE
Pervasive developmental disorders (F84),no.,0,2,0,0,0,2,F84,Pervasive developmental disorders,FALSE,FALSE
Other disorders of psychological development (F88),no.,0,0,0,0,0,NA,F88,Other disorders of psychological development,FALSE,FALSE
Unspecified disorder of psychological development (F89),no.,0,1,0,0,0,2,F89,Unspecified disorder of psychological development,FALSE,FALSE
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F90-F98),no.,0,0,0,0,0,NA,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,FALSE,FALSE
Hyperkinetic disorders (F90),no.,0,0,0,0,0,NA,F90,Hyperkinetic disorders,FALSE,FALSE
Conduct disorders (F91),no.,0,0,0,0,0,NA,F91,Conduct disorders,FALSE,FALSE
Mixed disorders of conduct and emotions (F92),no.,0,0,0,0,0,NA,F92,Mixed disorders of conduct and emotions,FALSE,FALSE
Emotional disorders with onset specific to childhood (F93),no.,0,0,0,0,0,NA,F93,Emotional disorders with onset specific to childhood,FALSE,FALSE
Disorders of social functioning with onset specific to childhood and adolescence (F94),no.,0,0,0,0,0,NA,F94,Disorders of social functioning with onset specific to childhood and adolescence,FALSE,FALSE
Tic disorders (F95),no.,0,0,0,0,0,NA,F95,Tic disorders,FALSE,FALSE
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence (F98),no.,0,0,0,0,0,NA,F98,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,FALSE,FALSE
Unspecified mental disorder (F99-F99),no.,0,0,0,0,0,NA,F99-F99,Unspecified mental disorder,FALSE,FALSE
"Mental disorder, not otherwise specified (F99)",no.,0,0,0,0,0,NA,F99,"Mental disorder, not otherwise specified",FALSE,FALSE
CHAPTER VI Diseases of the nervous system (G00-G99),no.,2508,3259,2691,1716,2370,3.1,G00-G99,CHAPTER VI Diseases of the nervous system,TRUE,FALSE
Inflammatory diseases of the central nervous system (G00-G09),no.,25,25,29,21,51,3.8,G00-G09,Inflammatory diseases of the central nervous system,FALSE,FALSE
"Bacterial meningitis, not elsewhere classified (G00)",no.,5,4,3,4,6,3.4,G00,"Bacterial meningitis, not elsewhere classified",FALSE,FALSE
Meningitis due to other and unspecified causes (G03),no.,3,1,2,2,3,3.4,G03,Meningitis due to other and unspecified causes,FALSE,FALSE
"Encephalitis, myelitis and encephalomyelitis (G04)",no.,14,15,12,10,23,3.6,G04,"Encephalitis, myelitis and encephalomyelitis",FALSE,FALSE
Intracranial and intraspinal abscess and granuloma (G06),no.,2,3,8,3,9,4.4,G06,Intracranial and intraspinal abscess and granuloma,FALSE,FALSE
Intracranial and intraspinal phlebitis and thrombophlebitis (G08),no.,0,1,1,1,3,4.3,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,FALSE,FALSE
Sequelae of inflammatory diseases of central nervous system (G09),no.,1,1,3,1,7,4.5,G09,Sequelae of inflammatory diseases of central nervous system,FALSE,FALSE
Systemic atrophies primarily affecting the central nervous system (G10-G14),no.,432,241,137,83,60,2.1,G10-G14,Systemic atrophies primarily affecting the central nervous system,FALSE,FALSE
Huntington disease (G10),no.,30,32,15,8,5,2.2,G10,Huntington disease,FALSE,FALSE
Hereditary ataxia (G11),no.,9,14,10,10,10,3.2,G11,Hereditary ataxia,FALSE,FALSE
Spinal muscular atrophy and related syndromes (G12),no.,393,195,109,65,44,2,G12,Spinal muscular atrophy and related syndromes,FALSE,FALSE
Postpolio syndrome (G14),no.,0,0,3,0,1,3.8,G14,Postpolio syndrome,FALSE,FALSE
Extrapyramidal and movement disorders (G20-G26),no.,458,834,692,471,601,3.2,G20-G26,Extrapyramidal and movement disorders,FALSE,FALSE
Parkinson disease (G20),no.,333,702,616,419,529,3.3,G20,Parkinson disease,FALSE,FALSE
Secondary parkinsonism (G21),no.,0,1,1,5,13,5.5,G21,Secondary parkinsonism,FALSE,FALSE
Other degenerative diseases of basal ganglia (G23),no.,125,129,74,45,51,2.6,G23,Other degenerative diseases of basal ganglia,FALSE,FALSE
Dystonia (G24),no.,0,0,0,0,5,6,G24,Dystonia,FALSE,FALSE
Other extrapyramidal and movement disorders (G25),no.,0,2,1,2,3,4.8,G25,Other extrapyramidal and movement disorders,FALSE,FALSE
Other degenerative diseases of the nervous system (G30-G32),no.,1451,1789,1497,903,1232,3,G30-G32,Other degenerative diseases of the nervous system,FALSE,FALSE
Alzheimer's disease (G30),no.,1248,1561,1318,797,1074,3,G30,Alzheimer's disease,FALSE,FALSE
"Other degenerative diseases of nervous system, not elsewhere classified (G31)",no.,203,228,179,106,158,3,G31,"Other degenerative diseases of nervous system, not elsewhere classified",FALSE,FALSE
Demyelinating diseases of the central nervous system (G35-G37),no.,38,63,43,26,37,3.1,G35-G37,Demyelinating diseases of the central nervous system,FALSE,FALSE
Multiple sclerosis (G35),no.,35,63,39,25,35,3.1,G35,Multiple sclerosis,FALSE,FALSE
Other acute disseminated demyelination (G36),no.,2,0,1,0,0,1.7,G36,Other acute disseminated demyelination,FALSE,FALSE
Other demyelinating diseases of central nervous system (G37),no.,1,0,3,1,2,3.7,G37,Other demyelinating diseases of central nervous system,FALSE,FALSE
Episodic and paroxysmal disorders (G40-G47),no.,53,79,79,78,149,3.9,G40-G47,Episodic and paroxysmal disorders,FALSE,FALSE
Epilepsy (G40),no.,42,43,40,40,80,3.7,G40,Epilepsy,FALSE,FALSE
Status epilepticus (G41),no.,8,25,14,11,17,3.3,G41,Status epilepticus,FALSE,FALSE
Migraine (G43),no.,0,0,0,0,0,NA,G43,Migraine,FALSE,FALSE
Other headache syndromes (G44),no.,0,0,0,0,0,NA,G44,Other headache syndromes,FALSE,FALSE
Transient cerebral ischaemic attacks and related syndromes (G45),no.,2,3,7,6,8,3.8,G45,Transient cerebral ischaemic attacks and related syndromes,FALSE,FALSE
Sleep disorders (G47),no.,1,8,18,21,44,4.9,G47,Sleep disorders,FALSE,FALSE
"Nerve, nerve root and plexus disorders (G50-G59)",no.,0,0,2,0,2,4.5,G50-G59,"Nerve, nerve root and plexus disorders",FALSE,FALSE
Disorders of trigeminal nerve (G50),no.,0,0,1,0,1,4,G50,Disorders of trigeminal nerve,FALSE,FALSE
Facial nerve disorders (G51),no.,0,0,0,0,0,NA,G51,Facial nerve disorders,FALSE,FALSE
Disorders of other cranial nerves (G52),no.,0,0,1,0,0,3,G52,Disorders of other cranial nerves,FALSE,FALSE
Nerve root and plexus disorders (G54),no.,0,0,0,0,0,NA,G54,Nerve root and plexus disorders,FALSE,FALSE
Mononeuropathies of upper limb (G56),no.,0,0,0,0,1,7,G56,Mononeuropathies of upper limb,FALSE,FALSE
Mononeuropathies of lower limb (G57),no.,0,0,0,0,0,NA,G57,Mononeuropathies of lower limb,FALSE,FALSE
Other mononeuropathies (G58),no.,0,0,0,0,0,NA,G58,Other mononeuropathies,FALSE,FALSE
Polyneuropathies and other disorders of the peripheral nervous system (G60-G64),no.,5,14,20,15,14,3.7,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,FALSE,FALSE
Hereditary and idiopathic neuropathy (G60),no.,2,1,1,1,2,3.4,G60,Hereditary and idiopathic neuropathy,FALSE,FALSE
Inflammatory polyneuropathy (G61),no.,3,7,17,5,5,3.4,G61,Inflammatory polyneuropathy,FALSE,FALSE
Other polyneuropathies (G62),no.,0,6,2,9,7,4.2,G62,Other polyneuropathies,FALSE,FALSE
Other disorders of peripheral nervous system (G64),no.,0,0,0,0,0,NA,G64,Other disorders of peripheral nervous system,FALSE,FALSE
Diseases of myoneural junction and muscle (G70-G73),no.,26,54,56,47,68,3.6,G70-G73,Diseases of myoneural junction and muscle,FALSE,FALSE
Myasthenia gravis and other myoneural disorders (G70),no.,5,8,10,13,29,4.2,G70,Myasthenia gravis and other myoneural disorders,FALSE,FALSE
Primary disorders of muscles (G71),no.,18,35,34,22,19,3,G71,Primary disorders of muscles,FALSE,FALSE
Other myopathies (G72),no.,3,11,12,12,20,4.1,G72,Other myopathies,FALSE,FALSE
Cerebral palsy and other paralytic syndromes (G80-G83),no.,4,42,50,39,72,4,G80-G83,Cerebral palsy and other paralytic syndromes,FALSE,FALSE
Cerebral palsy (G80),no.,4,31,29,24,44,3.9,G80,Cerebral palsy,FALSE,FALSE
Hemiplegia (G81),no.,0,1,0,2,2,4.8,G81,Hemiplegia,FALSE,FALSE
Paraplegia and tetraplegia (G82),no.,0,10,19,12,20,3.9,G82,Paraplegia and tetraplegia,FALSE,FALSE
Other paralytic syndromes (G83),no.,0,0,2,1,6,5.4,G83,Other paralytic syndromes,FALSE,FALSE
Other disorders of the nervous system (G90-G99),no.,16,118,86,33,84,3.5,G90-G99,Other disorders of the nervous system,FALSE,FALSE
Disorders of autonomic nervous system (G90),no.,0,5,5,2,6,3.8,G90,Disorders of autonomic nervous system,FALSE,FALSE
Hydrocephalus (G91),no.,5,13,8,5,9,3.3,G91,Hydrocephalus,FALSE,FALSE
Toxic encephalopathy (G92),no.,0,0,0,0,1,10,G92,Toxic encephalopathy,FALSE,FALSE
Other disorders of brain (G93),no.,10,71,55,21,50,3.4,G93,Other disorders of brain,FALSE,FALSE
Other diseases of spinal cord (G95),no.,0,6,6,3,17,5,G95,Other diseases of spinal cord,FALSE,FALSE
Other disorders of central nervous system (G96),no.,1,22,11,2,1,2.5,G96,Other disorders of central nervous system,FALSE,FALSE
"Postprocedural disorders of nervous system, not elsewhere classified (G97)",no.,0,0,0,0,0,NA,G97,"Postprocedural disorders of nervous system, not elsewhere classified",FALSE,FALSE
"Other disorders of nervous system, not elsewhere classified (G98)",no.,0,1,1,0,0,2.5,G98,"Other disorders of nervous system, not elsewhere classified",FALSE,FALSE
CHAPTER VII Diseases of the eye and adnexa (H00-H59),no.,1,0,5,3,4,3.8,H00-H59,CHAPTER VII Diseases of the eye and adnexa,TRUE,FALSE
"Disorders of eyelid, lacrimal system and orbit (H00-H06)",no.,0,0,1,0,0,3,H00-H06,"Disorders of eyelid, lacrimal system and orbit",FALSE,FALSE
Hordeolum and chalazion (H00),no.,0,0,0,0,0,NA,H00,Hordeolum and chalazion,FALSE,FALSE
Other inflammation of eyelid (H01),no.,0,0,0,0,0,NA,H01,Other inflammation of eyelid,FALSE,FALSE
Other disorders of eyelid (H02),no.,0,0,0,0,0,NA,H02,Other disorders of eyelid,FALSE,FALSE
Disorders of lacrimal system (H04),no.,0,0,0,0,0,NA,H04,Disorders of lacrimal system,FALSE,FALSE
Disorders of orbit (H05),no.,0,0,1,0,0,3,H05,Disorders of orbit,FALSE,FALSE
Disorders of conjunctiva (H10-H13),no.,0,0,0,0,0,NA,H10-H13,Disorders of conjunctiva,FALSE,FALSE
Conjunctivitis (H10),no.,0,0,0,0,0,NA,H10,Conjunctivitis,FALSE,FALSE
Other disorders of conjunctiva (H11),no.,0,0,0,0,0,NA,H11,Other disorders of conjunctiva,FALSE,FALSE
"Disorders of sclera, cornea, iris and ciliary body (H15-H22)",no.,0,0,0,1,1,4.5,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",FALSE,FALSE
Disorders of sclera (H15),no.,0,0,0,0,0,NA,H15,Disorders of sclera,FALSE,FALSE
Keratitis (H16),no.,0,0,0,1,1,4.5,H16,Keratitis,FALSE,FALSE
Corneal scars and opacities (H17),no.,0,0,0,0,0,NA,H17,Corneal scars and opacities,FALSE,FALSE
Other disorders of cornea (H18),no.,0,0,0,0,0,NA,H18,Other disorders of cornea,FALSE,FALSE
Iridocyclitis (H20),no.,0,0,0,0,0,NA,H20,Iridocyclitis,FALSE,FALSE
Other disorders of iris and ciliary body (H21),no.,0,0,0,0,0,NA,H21,Other disorders of iris and ciliary body,FALSE,FALSE
Disorders of lens (H25-H28),no.,0,0,0,0,0,NA,H25-H28,Disorders of lens,FALSE,FALSE
Senile cataract (H25),no.,0,0,0,0,0,NA,H25,Senile cataract,FALSE,FALSE
Other cataract (H26),no.,0,0,0,0,0,NA,H26,Other cataract,FALSE,FALSE
Other disorders of lens (H27),no.,0,0,0,0,0,NA,H27,Other disorders of lens,FALSE,FALSE
Disorders of choroid and retina (H30-H36),no.,0,0,3,1,3,4.1,H30-H36,Disorders of choroid and retina,FALSE,FALSE
Chorioretinal inflammation (H30),no.,0,0,0,0,0,NA,H30,Chorioretinal inflammation,FALSE,FALSE
Other disorders of choroid (H31),no.,0,0,0,0,0,NA,H31,Other disorders of choroid,FALSE,FALSE
Retinal detachments and breaks (H33),no.,0,0,0,0,0,NA,H33,Retinal detachments and breaks,FALSE,FALSE
Retinal vascular occlusions (H34),no.,0,0,0,0,0,NA,H34,Retinal vascular occlusions,FALSE,FALSE
Other retinal disorders (H35),no.,0,0,3,1,3,4.1,H35,Other retinal disorders,FALSE,FALSE
Glaucoma (H40-H42),no.,0,0,1,1,0,3.5,H40-H42,Glaucoma,FALSE,FALSE
Glaucoma (H40),no.,0,0,1,1,0,3.5,H40,Glaucoma,FALSE,FALSE
Disorders of vitreous body and globe (H43-H45),no.,0,0,0,0,0,NA,H43-H45,Disorders of vitreous body and globe,FALSE,FALSE
Disorders of vitreous body (H43),no.,0,0,0,0,0,NA,H43,Disorders of vitreous body,FALSE,FALSE
Disorders of globe (H44),no.,0,0,0,0,0,NA,H44,Disorders of globe,FALSE,FALSE
Disorders of optic nerve and visual pathways (H46-H48),no.,0,0,0,0,0,NA,H46-H48,Disorders of optic nerve and visual pathways,FALSE,FALSE
Optic neuritis (H46),no.,0,0,0,0,0,NA,H46,Optic neuritis,FALSE,FALSE
Other disorders of optic [2nd] nerve and visual pathways (H47),no.,0,0,0,0,0,NA,H47,Other disorders of optic [2nd] nerve and visual pathways,FALSE,FALSE
"Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)",no.,1,0,0,0,0,1,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",FALSE,FALSE
